rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
27,22.90,,Ryan CROUSER,18 DEC 1992,USA,1,"Stade de France, Paris (FRA)",03 AUG 2024,1294,shot-put,throws,male,senior
31,22.89,,Joe KOVACS,28 JUN 1989,USA,2,"Hayward Field, Eugene, OR (USA)",17 JUL 2022,1294,shot-put,throws,male,senior
31,22.89,,Joe KOVACS,28 JUN 1989,USA,1,"Bregyó Athletic Center, Székesfehérvár (HUN)",08 AUG 2022,1294,shot-put,throws,male,senior
33,22.88,,Leonardo FABBRI,15 APR 1997,ITA,1,"Campo Comunale, Modena (ITA)",01 MAY 2024,1293,shot-put,throws,male,senior
34,22.87,,Joe KOVACS,28 JUN 1989,USA,2,"Hayward Field, Eugene, OR (USA)",24 JUN 2022,1293,shot-put,throws,male,senior
35,22.86,,Brian OLDFIELD,01 JUN 1945,USA,1,"El Paso, TX (USA)",10 MAY 1975,1292,shot-put,throws,male,senior
35,22.86,,Ryan CROUSER,18 DEC 1992,USA,1,"Hayward Field, Eugene, OR (USA)",09 JUL 2023,1292,shot-put,throws,male,senior
37,22.84,,Alessandro ANDREI,03 JAN 1959,ITA,,Viareggio (ITA),12 AUG 1987,1291,shot-put,throws,male,senior
37,22.84,,Ryan CROUSER,18 DEC 1992,USA,1,"Sports Park Mladost, Zagreb (CRO)",13 SEP 2021,1291,shot-put,throws,male,senior
37,22.84,,Ryan CROUSER,18 DEC 1992,USA,1,"Hayward Field, Eugene, OR (USA)",22 JUN 2024,1291,shot-put,throws,male,senior
40,22.82,,Ryan CROUSER,18 DEC 1992,USA,1,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",24 JAN 2021,1290,shot-put,throws,male,senior
41,22.81,,Ryan CROUSER,18 DEC 1992,USA,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",26 AUG 2021,1289,shot-put,throws,male,senior
42,22.80,,Ryan CROUSER,18 DEC 1992,USA,1,"Convention Center, Albuquerque, NM (USA) (i)",17 FEB 2024,1288,shot-put,throws,male,senior
43,22.79,,Ryan CROUSER,18 DEC 1992,USA,2,"Boudewijnstadion, Bruxelles (BEL)",14 SEP 2024,1288,shot-put,throws,male,senior
44,22.77,,Ryan CROUSER,18 DEC 1992,USA,1,"Glasgow Arena, Glasgow (GBR) (i)",01 MAR 2024,1287,shot-put,throws,male,senior
45,22.75,,Werner GÜNTHÖR,01 JUN 1961,SUI,1,Bern (SUI),23 AUG 1988,1285,shot-put,throws,male,senior
45,22.75,,Ryan CROUSER,18 DEC 1992,USA,1,"Estadio Francisco Montaner, Ponce (PUR)",12 MAY 2022,1285,shot-put,throws,male,senior
47,22.74,,Ryan CROUSER,18 DEC 1992,USA,1,"Long Beach, CA (USA)",20 APR 2019,1285,shot-put,throws,male,senior
47,22.74,,Ryan CROUSER,18 DEC 1992,USA,1,"Sports Park Mladost, Zagreb (CRO)",14 SEP 2020,1285,shot-put,throws,male,senior
47,22.74,,Ryan CROUSER,18 DEC 1992,USA,2,"Sechseläutenplatz, Zürich (SUI)",07 SEP 2022,1285,shot-put,throws,male,senior
50,22.72,,Alessandro ANDREI,03 JAN 1959,ITA,,Viareggio (ITA),12 AUG 1987,1284,shot-put,throws,male,senior
50,22.72,,Ryan CROUSER,18 DEC 1992,USA,1,"Drake Stadium, Des Moines, IA (USA)",29 AUG 2020,1284,shot-put,throws,male,senior
50,22.72,,Joe KOVACS,28 JUN 1989,USA,1,"Jesse Owens Stadium, Columbus, OH (USA)",01 MAY 2021,1284,shot-put,throws,male,senior
53,22.70,,Ryan CROUSER,18 DEC 1992,USA,1,"Stadion Śląski, Chorzów (POL)",06 SEP 2020,1282,shot-put,throws,male,senior
54,22.69,,Ryan CROUSER,18 DEC 1992,USA,1,"John McDonnell Field, Fayetteville, AR (USA)",07 MAY 2021,1282,shot-put,throws,male,senior
54,22.69,,Joe KOVACS,28 JUN 1989,USA,1,"Vanderbilt Track, Nashville, TN (USA)",29 APR 2023,1282,shot-put,throws,male,senior
54,22.69,,Tom WALSH,01 MAR 1992,NZL,3,"Hayward Field, Eugene, OR (USA)",17 SEP 2023,1282,shot-put,throws,male,senior
57,22.67,,Kevin TOTH,29 DEC 1967,USA,1,"Lawrence, KS (USA)",19 APR 2003,1281,shot-put,throws,male,senior
57,22.67,,Tom WALSH,01 MAR 1992,NZL,1,Auckland (NZL),25 MAR 2018,1281,shot-put,throws,male,senior
57,22.67,,Ryan CROUSER,18 DEC 1992,USA,1f1,"Tucson, AZ (USA)",18 MAY 2019,1281,shot-put,throws,male,senior
57,22.67,,Ryan CROUSER,18 DEC 1992,USA,1,"Sechseläutenplatz, Zürich (SUI)",08 SEP 2021,1281,shot-put,throws,male,senior
61,22.66,,Randy BARNES,16 JUN 1966,USA,1,"Los Angeles, CA (USA) (i)",20 JAN 1989,1280,shot-put,throws,male,senior
61,22.66,,Ryan CROUSER,18 DEC 1992,USA,1,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",31 JAN 2021,1280,shot-put,throws,male,senior
61,22.66,,Ryan CROUSER,18 DEC 1992,USA,1,"Letzigrund, Zürich (SUI)",05 SEP 2024,1280,shot-put,throws,male,senior
64,22.65,,Ryan CROUSER,18 DEC 1992,USA,1,"Sacramento, CA (USA)",25 JUN 2017,1279,shot-put,throws,male,senior
64,22.65,,Joe KOVACS,28 JUN 1989,USA,2,"National Stadium, Tokyo (JPN)",05 AUG 2021,1279,shot-put,throws,male,senior
64,22.65,,Joe KOVACS,28 JUN 1989,USA,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",26 AUG 2022,1279,shot-put,throws,male,senior
67,22.64,,Udo BEYER,09 AUG 1955,GDR,1,Berlin (GDR),20 AUG 1986,1279,shot-put,throws,male,senior
68,22.63,,Ryan CROUSER,18 DEC 1992,USA,1,"Mestský Stadion, Ostrava (CZE)",27 JUN 2023,1278,shot-put,throws,male,senior
69,22.62,,Ulf TIMMERMANN,01 NOV 1962,GDR,1,Berlin (GDR),22 SEP 1985,1278,shot-put,throws,male,senior
69,22.62,,Ryan CROUSER,18 DEC 1992,USA,1,"Drake Stadium, Des Moines, IA (USA)",26 JUL 2019,1278,shot-put,throws,male,senior
71,22.61,,Ulf TIMMERMANN,01 NOV 1962,GDR,1,Potsdam (GDR),08 SEP 1988,1277,shot-put,throws,male,senior
71,22.61,,Darlan ROMANI,09 APR 1991,BRA,1,"Cobb Track and Angell Field, Palo Alto, CA (USA)",30 JUN 2019,1277,shot-put,throws,male,senior
71,22.61,,Joe KOVACS,28 JUN 1989,USA,1,"Sint-Katelijneplein, Bruxelles (BEL)",01 SEP 2022,1277,shot-put,throws,male,senior
74,22.60,,Ulf TIMMERMANN,01 NOV 1962,GDR,1,Tallinn (EST),21 JUN 1986,1276,shot-put,throws,male,senior
74,22.60,,Tom WALSH,01 MAR 1992,NZL,1,"Letzigrund, Zürich (SUI)",30 AUG 2018,1276,shot-put,throws,male,senior
74,22.60,,Ryan CROUSER,18 DEC 1992,USA,1f2,"Convention Center, Albuquerque, NM (USA) (i)",15 FEB 2020,1276,shot-put,throws,male,senior
74,22.60,,Ryan CROUSER,18 DEC 1992,USA,1,"Univ. of Arizona Roy P. Drachman Stadium, Tucson, AZ (USA)",20 MAY 2021,1276,shot-put,throws,male,senior
78,22.59,,Ryan CROUSER,18 DEC 1992,USA,1,"Republic Square, Beograd (SRB)",17 SEP 2020,1276,shot-put,throws,male,senior
78,22.59,,Payton OTTERDAHL,02 APR 1996,USA,1,"Drake Stadium, Des Moines, IA (USA) (i)",24 APR 2024,1276,shot-put,throws,male,senior
78,22.59,,Leonardo FABBRI,15 APR 1997,ITA,1,"Campo Scuola Moreno Martini, Lucca (ITA)",19 MAY 2024,1276,shot-put,throws,male,senior
81,22.58,,Ryan CROUSER,18 DEC 1992,USA,1,"Ahearn Field House, Manhattan, KS (USA) (i)",05 DEC 2020,1275,shot-put,throws,male,senior
81,22.58,,Ryan CROUSER,18 DEC 1992,USA,1,"Armory Track&Field Center, New York, NY (USA) (i)",11 FEB 2023,1275,shot-put,throws,male,senior
81,22.58,,Tom WALSH,01 MAR 1992,NZL,2,"Olympic Stadium, London (GBR)",23 JUL 2023,1275,shot-put,throws,male,senior
84,22.57,,Joe KOVACS,28 JUN 1989,USA,1,"Tucson, AZ (USA)",18 MAY 2017,1275,shot-put,throws,male,senior
85,22.56,,Ulf TIMMERMANN,01 NOV 1962,GDR,1,Berlin (GER),13 SEP 1988,1274,shot-put,throws,male,senior
85,22.56,,Joe KOVACS,28 JUN 1989,USA,1,"Stade Louis II, Monaco (MON)",17 JUL 2015,1274,shot-put,throws,male,senior
85,22.56,,Ryan CROUSER,18 DEC 1992,USA,1,"Drake Stadium, Des Moines, IA (USA)",25 AUG 2020,1274,shot-put,throws,male,senior
88,22.55,,Ulf TIMMERMANN,01 NOV 1962,GDR,1,Senftenberg (GER) (i),11 FEB 1989,1273,shot-put,throws,male,senior
88,22.55,,Ryan CROUSER,18 DEC 1992,USA,1,"Stadion Śląski, Chorzów (POL)",16 JUL 2023,1273,shot-put,throws,male,senior
90,22.54,,Christian CANTWELL,30 SEP 1980,USA,1,"Gresham, OR (USA)",05 JUN 2004,1273,shot-put,throws,male,senior
91,22.53,,Ryan CROUSER,18 DEC 1992,USA,1,"Hayward Field, Eugene, OR (USA)",26 MAY 2018,1272,shot-put,throws,male,senior
91,22.53,,Darlan ROMANI,09 APR 1991,BRA,4,"Khalifa International Stadium, Doha (QAT)",05 OCT 2019,1272,shot-put,throws,male,senior
91,22.53,,Darlan ROMANI,09 APR 1991,BRA,1,"Štark Arena, Beograd (SRB) (i)",19 MAR 2022,1272,shot-put,throws,male,senior
94,22.52,,John BRENNER,04 JAN 1961,USA,1,"Walnut, CA (USA)",26 APR 1987,1272,shot-put,throws,male,senior
94,22.52,,Ryan CROUSER,18 DEC 1992,USA,1,"Estádio Olímpico, Rio de Janeiro (BRA)",18 AUG 2016,1272,shot-put,throws,male,senior
94,22.52,,Leonardo FABBRI,15 APR 1997,ITA,1,"Olympic Stadium, London (GBR)",20 JUL 2024,1272,shot-put,throws,male,senior
97,22.51,,Ulf TIMMERMANN,01 NOV 1962,GDR,1,Erfurt (GER),01 JUN 1986,1271,shot-put,throws,male,senior
97,22.51,,Adam NELSON,07 JUL 1975,USA,1,"Portland, OR (USA)",18 MAY 2002,1271,shot-put,throws,male,senior
97,22.51,,Ryan CROUSER,18 DEC 1992,USA,1,"The Podium, Spokane, WA (USA) (i)",27 FEB 2022,1271,shot-put,throws,male,senior
97,22.51,,Ryan CROUSER,18 DEC 1992,USA,1,"Bregyó Athletic Center, Székesfehérvár (HUN)",18 JUL 2023,1271,shot-put,throws,male,senior
101,22.49,,Joe KOVACS,28 JUN 1989,USA,2,"Hayward Field, Eugene, OR (USA)",28 MAY 2022,1270,shot-put,throws,male,senior
101,22.49,,Ryan CROUSER,18 DEC 1992,USA,1,"Stadio Olimpico, Roma (ITA)",30 AUG 2024,1270,shot-put,throws,male,senior
103,22.47,,Ulf TIMMERMANN,01 NOV 1962,GDR,1,Dresden (GER),17 AUG 1986,1269,shot-put,throws,male,senior
103,22.47,,Werner GÜNTHÖR,01 JUN 1961,SUI,1,Helsinki (FIN),02 JUL 1987,1269,shot-put,throws,male,senior
103,22.47,,Ulf TIMMERMANN,01 NOV 1962,GDR,1,"Olympic Stadium, Seoul (KOR)",23 SEP 1988,1269,shot-put,throws,male,senior
103,22.47,,Ryan CROUSER,18 DEC 1992,USA,1,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",16 JUL 2017,1269,shot-put,throws,male,senior
103,22.47,,Tom WALSH,01 MAR 1992,NZL,3,"National Stadium, Tokyo (JPN)",05 AUG 2021,1269,shot-put,throws,male,senior
108,22.46,,Joe KOVACS,28 JUN 1989,USA,1,"Vanderbilt Track, Nashville, TN (USA)",30 APR 2022,1268,shot-put,throws,male,senior
108,22.46,,Tom WALSH,01 MAR 1992,NZL,1,"Fountains, Zagreb (CRO)",09 SEP 2023,1268,shot-put,throws,male,senior
108,22.46,,Payton OTTERDAHL,02 APR 1996,USA,2,"Fountains, Zagreb (CRO)",07 SEP 2024,1268,shot-put,throws,male,senior
111,22.45,,Brian OLDFIELD,01 JUN 1945,USA,1,"El Paso, TX (USA)",22 MAY 1976,1267,shot-put,throws,male,senior
111,22.45,,Christian CANTWELL,30 SEP 1980,USA,1,"International Stadium, Gateshead (GBR)",11 JUN 2006,1267,shot-put,throws,male,senior
111,22.45,,Tom WALSH,01 MAR 1992,NZL,1q1,Gold Coast (AUS),08 APR 2018,1267,shot-put,throws,male,senior
111,22.45,,Leonardo FABBRI,15 APR 1997,ITA,1,"Stadio Olimpico, Roma (ITA)",08 JUN 2024,1267,shot-put,throws,male,senior
115,22.44,,Darrell HILL,17 AUG 1993,USA,1,"Boudewijnstadion, Bruxelles (BEL)",31 AUG 2017,1267,shot-put,throws,male,senior
115,22.44,,Ryan CROUSER,18 DEC 1992,USA,1,"Chula Vista, CA (USA)",13 JUL 2019,1267,shot-put,throws,male,senior
115,22.44,,Tom WALSH,01 MAR 1992,NZL,1,"Stade Charléty, Paris (FRA)",24 AUG 2019,1267,shot-put,throws,male,senior
115,22.44,,Ryan CROUSER,18 DEC 1992,USA,2,"Štark Arena, Beograd (SRB) (i)",19 MAR 2022,1267,shot-put,throws,male,senior
115,22.44,,Zane WEIR,07 SEP 1995,ITA,1,"Stadio Colbachini, Padova (ITA)",03 SEP 2023,1267,shot-put,throws,male,senior
120,22.43,,Werner GÜNTHÖR,01 JUN 1961,SUI,1,Lüdenscheid (GER),18 JUN 1987,1266,shot-put,throws,male,senior
120,22.43,,Reese HOFFA,08 OCT 1977,USA,1,"Crystal Palace, London (GBR)",03 AUG 2007,1266,shot-put,throws,male,senior
120,22.43,,Ryan CROUSER,18 DEC 1992,USA,1,"Hayward Field, Eugene, OR (USA)",27 MAY 2017,1266,shot-put,throws,male,senior
120,22.43,,Ryan CROUSER,18 DEC 1992,USA,1,"Mestský Stadion, Ostrava (CZE)",08 SEP 2020,1266,shot-put,throws,male,senior
120,22.43,,Joe KOVACS,28 JUN 1989,USA,2,"Hayward Field, Eugene, OR (USA)",22 JUN 2024,1266,shot-put,throws,male,senior
120,22.43,,Leonardo FABBRI,15 APR 1997,ITA,1,"Bregyó Athletic Center, Székesfehérvár (HUN)",09 JUL 2024,1266,shot-put,throws,male,senior
126,22.42,,Randy BARNES,16 JUN 1966,USA,1,"Letzigrund, Zürich (SUI)",17 AUG 1988,1266,shot-put,throws,male,senior
126,22.42,,Ryan CROUSER,18 DEC 1992,USA,1,"Drake Field House, Des Moines, IA (USA) (i)",26 APR 2023,1266,shot-put,throws,male,senior
128,22.41,,Christian CANTWELL,30 SEP 1980,USA,1,"Hayward Field, Eugene, OR (USA)",03 JUL 2010,1265,shot-put,throws,male,senior
128,22.41,,Payton OTTERDAHL,02 APR 1996,USA,1,"Univ. of Arizona Roy P. Drachman Stadium, Tucson, AZ (USA)",04 MAY 2024,1265,shot-put,throws,male,senior
130,22.40,,Adam NELSON,07 JUL 1975,USA,1,"Fayetteville, AR (USA) (i)",15 FEB 2008,1264,shot-put,throws,male,senior
130,22.40,,Darrell HILL,17 AUG 1993,USA,2,"Letzigrund, Zürich (SUI)",30 AUG 2018,1264,shot-put,throws,male,senior
130,22.40,,Joe KOVACS,28 JUN 1989,USA,2,"Stadio Colbachini, Padova (ITA)",03 SEP 2023,1264,shot-put,throws,male,senior
130,22.40,,Leonardo FABBRI,15 APR 1997,ITA,1,"Mestský Stadion, Ostrava (CZE)",28 MAY 2024,1264,shot-put,throws,male,senior
134,22.39,,Randy BARNES,16 JUN 1966,USA,2,"Olympic Stadium, Seoul (KOR)",23 SEP 1988,1264,shot-put,throws,male,senior
134,22.39,,Ryan CROUSER,18 DEC 1992,USA,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",06 JUL 2017,1264,shot-put,throws,male,senior
134,22.39,,Ryan CROUSER,18 DEC 1992,USA,1,"Stadion Śląski, Chorzów (POL)",05 SEP 2021,1264,shot-put,throws,male,senior
134,22.39,,Tom WALSH,01 MAR 1992,NZL,2,"Sports Park Mladost, Zagreb (CRO)",13 SEP 2021,1264,shot-put,throws,male,senior
138,22.38,,Ryan CROUSER,18 DEC 1992,USA,1,"Drake Stadium, Des Moines, IA (USA)",29 APR 2023,1263,shot-put,throws,male,senior
138,22.38,,Payton OTTERDAHL,02 APR 1996,USA,1,"Iron Wood Throwers Center, Rathdrum, ID (USA)",01 JUN 2024,1263,shot-put,throws,male,senior
138,22.38,,Leonardo FABBRI,15 APR 1997,ITA,1,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",20 JUN 2024,1263,shot-put,throws,male,senior
141,22.37,,Ryan CROUSER,18 DEC 1992,USA,2,"Boudewijnstadion, Bruxelles (BEL)",31 AUG 2017,1263,shot-put,throws,male,senior
141,22.37,,Darlan ROMANI,09 APR 1991,BRA,1q1,"Nemzeti Atlétikai Központ, Budapest (HUN)",19 AUG 2023,1263,shot-put,throws,male,senior
141,22.37,,Leonardo FABBRI,15 APR 1997,ITA,1,"Arena Stade Couvert, Liévin (FRA) (i)",10 FEB 2024,1263,shot-put,throws,male,senior
141,22.37,,Ryan CROUSER,18 DEC 1992,USA,2,"Olympic Stadium, London (GBR)",20 JUL 2024,1263,shot-put,throws,male,senior
145,22.36,,Ryan CROUSER,18 DEC 1992,USA,1,"Chula Vista, CA (USA)",16 JUN 2019,1262,shot-put,throws,male,senior
145,22.36,,Darlan ROMANI,09 APR 1991,BRA,1,"Five Rings Sports Center, Wuhan (CHN)",22 OCT 2019,1262,shot-put,throws,male,senior
147,22.35,,Christian CANTWELL,30 SEP 1980,USA,1,"Carson, CA (USA)",22 MAY 2004,1261,shot-put,throws,male,senior
147,22.35,,Christian CANTWELL,30 SEP 1980,USA,1,St. Charles (USA),19 JUN 2010,1261,shot-put,throws,male,senior
147,22.35,,Joe KOVACS,28 JUN 1989,USA,,"Los Angeles, CA (USA)",11 APR 2015,1261,shot-put,throws,male,senior
147,22.35,,Joe KOVACS,28 JUN 1989,USA,2,"Sacramento, CA (USA)",25 JUN 2017,1261,shot-put,throws,male,senior
147,22.35,,Ryan CROUSER,18 DEC 1992,USA,1,Vila Real de Santo António (POR),26 AUG 2017,1261,shot-put,throws,male,senior
147,22.35,,Darrell HILL,17 AUG 1993,USA,1,"Dinamo National Olympic Stadium, Minsk (BLR)",09 SEP 2019,1261,shot-put,throws,male,senior
153,22.34,,Darrell HILL,17 AUG 1993,USA,1,"Hilmer Lodge Stadium, Walnut, CA (USA)",09 MAY 2021,1261,shot-put,throws,male,senior
153,22.34,,Joe KOVACS,28 JUN 1989,USA,2,"Hayward Field, Eugene, OR (USA)",18 JUN 2021,1261,shot-put,throws,male,senior
153,22.34,,Leonardo FABBRI,15 APR 1997,ITA,2,"Nemzeti Atlétikai Központ, Budapest (HUN)",19 AUG 2023,1261,shot-put,throws,male,senior
156,22.33,,Ryan CROUSER,18 DEC 1992,USA,1,"New York, NY (USA) (i)",09 FEB 2019,1260,shot-put,throws,male,senior
157,22.32,,Michał HARATYK,10 APR 1992,POL,1,Warszawa (POL),28 JUL 2019,1260,shot-put,throws,male,senior
157,22.32,,Michał HARATYK,10 APR 1992,POL,1,"Stadion OPO Cetniewo, Władysławowo (POL)",03 AUG 2019,1260,shot-put,throws,male,senior
159,22.31,,Udo BEYER,09 AUG 1955,GDR,1,Potsdam (GDR),20 AUG 1987,1259,shot-put,throws,male,senior
159,22.31,,Christian CANTWELL,30 SEP 1980,USA,1f1,"Champaign, IL (USA)",07 JUL 2012,1259,shot-put,throws,male,senior
159,22.31,,Tom WALSH,01 MAR 1992,NZL,1,"Arena Birmingham, Birmingham (GBR) (i)",03 MAR 2018,1259,shot-put,throws,male,senior
159,22.31,,Ryan CROUSER,18 DEC 1992,USA,1,"Stadion Juliska, Praha (CZE)",04 JUN 2018,1259,shot-put,throws,male,senior
159,22.31,,Joe KOVACS,28 JUN 1989,USA,2,"Drake Stadium, Des Moines, IA (USA)",26 JUL 2019,1259,shot-put,throws,male,senior
159,22.31,,Tom WALSH,01 MAR 1992,NZL,3,"Štark Arena, Beograd (SRB) (i)",19 MAR 2022,1259,shot-put,throws,male,senior
159,22.31,,Tom WALSH,01 MAR 1992,NZL,1,"Stadion Śląski, Chorzów (POL)",05 JUN 2022,1259,shot-put,throws,male,senior
159,22.31,,Leonardo FABBRI,15 APR 1997,ITA,4,"Hayward Field, Eugene, OR (USA)",17 SEP 2023,1259,shot-put,throws,male,senior
159,22.31,,Rajindra CAMPBELL,29 FEB 1996,JAM,3,"Fountains, Zagreb (CRO)",07 SEP 2024,1259,shot-put,throws,male,senior
168,22.30,,Tom WALSH,01 MAR 1992,NZL,1,"Place De Brouckère, Bruxelles (BEL)",05 SEP 2019,1258,shot-put,throws,male,senior
169,22.29,,Tom WALSH,01 MAR 1992,NZL,1,"Bislett Stadion, Oslo (NOR)",07 JUN 2018,1258,shot-put,throws,male,senior
169,22.29,,Joe KOVACS,28 JUN 1989,USA,2,"Sechseläutenplatz, Zürich (SUI)",08 SEP 2021,1258,shot-put,throws,male,senior
169,22.29,,Josh AWOTUNDE,12 JUN 1995,USA,3,"Hayward Field, Eugene, OR (USA)",17 JUL 2022,1258,shot-put,throws,male,senior
169,22.29,,Ryan CROUSER,18 DEC 1992,USA,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",30 JUN 2023,1258,shot-put,throws,male,senior
173,22.28,,Brian OLDFIELD,01 JUN 1945,USA,1,Edinburgh (GBR),18 JUN 1975,1257,shot-put,throws,male,senior
173,22.28,,Randy BARNES,16 JUN 1966,USA,1,"Walnut, CA (USA)",22 APR 1990,1257,shot-put,throws,male,senior
173,22.28,,Ryan WHITING,24 NOV 1986,USA,1,"Suhaim bin Hamad Stadium, Doha (QAT)",10 MAY 2013,1257,shot-put,throws,male,senior
173,22.28,,Ryan CROUSER,18 DEC 1992,USA,1,"Sports Park Mladost, Zagreb (CRO)",05 SEP 2016,1257,shot-put,throws,male,senior
173,22.28,,Ryan CROUSER,18 DEC 1992,USA,1,Bellinzona (SUI),01 SEP 2019,1257,shot-put,throws,male,senior
173,22.28,,Ryan CROUSER,18 DEC 1992,USA,1q1,"Hayward Field, Eugene, OR (USA)",15 JUL 2022,1257,shot-put,throws,male,senior
179,22.27,,Ryan CROUSER,18 DEC 1992,USA,1,"Stadion Śląski, Chorzów (POL)",08 JUN 2018,1257,shot-put,throws,male,senior
179,22.27,,Tom WALSH,01 MAR 1992,NZL,1,"Mestský Stadion, Ostrava (CZE)",20 JUN 2019,1257,shot-put,throws,male,senior
181,22.26,,Werner GÜNTHÖR,01 JUN 1961,SUI,1,Magglingen (SUI) (i),08 FEB 1987,1256,shot-put,throws,male,senior
181,22.26,,John BRENNER,04 JAN 1961,USA,1,"Westwood, CA (USA)",18 APR 1987,1256,shot-put,throws,male,senior
181,22.26,,Tom WALSH,01 MAR 1992,NZL,1,"Alexander Stadium, Birmingham (GBR)",05 AUG 2022,1256,shot-put,throws,male,senior
181,22.26,,Payton OTTERDAHL,02 APR 1996,USA,3,"Hayward Field, Eugene, OR (USA)",22 JUN 2024,1256,shot-put,throws,male,senior
