rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
21,6.58,,Christian COLEMAN,06 MAR 1996,USA,1,"Blacksburg, VA (USA) (i)",06 FEB 2015,1164,60-metres,sprints,male,u20
21,6.58,,Keshaun BLACK,,USA,1h2,"Robert W. Plaster Center, Pittsburg, KS (USA) (i)",04 MAR 2022,1164,60-metres,sprints,male,u20
21,6.58,,Ajani DWYER,18 MAY 2006,USA,1h1,"Ott Center for Track & Field, Philadelphia, PA (USA) (i)",25 JAN 2025,1164,60-metres,sprints,male,u20
21,6.58,-1.8,Bayanda WALAZA,09 FEB 2006,RSA,1,"Pilditch Stadium, Pretoria (RSA)",08 FEB 2025,1174,60-metres,sprints,male,u20
21,6.58,,Ajani DWYER,18 MAY 2006,USA,3sf1,"Clemson Indoor Track & Field Complex, Clemson, SC (USA) (i)",14 FEB 2025,1164,60-metres,sprints,male,u20
29,6.59,,Eugen RAY,26 JUL 1957,GDR,1,Berlin (GER) (i),07 JAN 1976,1158,60-metres,sprints,male,u20
29,6.59,,Sven MATTHES,23 AUG 1969,GDR,1,Senftenberg (GER) (i),06 FEB 1988,1158,60-metres,sprints,male,u20
29,6.59,,Tim GOEBEL,04 MAR 1982,GER,1,Dortmund (GER) (i),11 FEB 2001,1158,60-metres,sprints,male,u20
29,6.59,,Tim GOEBEL,04 MAR 1982,GER,1,Sindelfingen (GER) (i),04 MAR 2001,1158,60-metres,sprints,male,u20
29,6.59,,Tim GOEBEL,04 MAR 1982,GER,6,"Atlantic Pavillion, Lisboa (POR) (i)",11 MAR 2001,1158,60-metres,sprints,male,u20
29,6.59,,Tim GOEBEL,04 MAR 1982,GER,2sf3,"Atlantic Pavillion, Lisboa (POR) (i)",11 MAR 2001,1158,60-metres,sprints,male,u20
29,6.59,,Yoshihide KIRYU,15 DEC 1995,JPN,1,Osaka (JPN) (i),09 FEB 2014,1158,60-metres,sprints,male,u20
29,6.59,,Anthony SCHWARTZ,05 SEP 2000,USA,1,"New York, NY (USA) (i)",11 MAR 2018,1158,60-metres,sprints,male,u20
29,6.59,,Anthony SCHWARTZ,05 SEP 2000,USA,3,"Clemson, SC (USA) (i)",08 FEB 2019,1158,60-metres,sprints,male,u20
29,6.59,,Kenroy HIGGINS,,USA,2,"Dempsey Indoor, Seattle, WA (USA) (i)",29 FEB 2020,1158,60-metres,sprints,male,u20
29,6.59,,Issamade ASINGA,29 DEC 2004,USA,1,"The Track at New Balance, Boston, MA (USA) (i)",12 MAR 2023,1158,60-metres,sprints,male,u20
29,6.59,,Ajani DWYER,18 MAY 2006,USA,1,"Ashenfelter Indoor Track, State College, PA (USA) (i)",18 JAN 2025,1158,60-metres,sprints,male,u20
29,6.59,,Joshua CALEB,14 JUL 2006,NGR,1,"Sparks Convention Center Halls, Reno, NV (USA) (i)",25 JAN 2025,1158,60-metres,sprints,male,u20
29,6.59,,Naoki NISHIOKA,19 JUL 2006,JPN,1f1,"Osaka Castle Hall, Osaka (JPN) (i)",02 FEB 2025,1158,60-metres,sprints,male,u20
29,6.59,,Ajani DWYER,18 MAY 2006,USA,1,"Ashenfelter Indoor Track, State College, PA (USA) (i)",08 FEB 2025,1158,60-metres,sprints,male,u20
44,6.60,,Sven MATTHES,23 AUG 1969,GDR,4,"Budapest Sportcsarnok, Budapest (HUN) (i)",05 MAR 1988,1153,60-metres,sprints,male,u20
44,6.60,,Sven MATTHES,23 AUG 1969,GDR,2sf2,"Budapest Sportcsarnok, Budapest (HUN) (i)",05 MAR 1988,1153,60-metres,sprints,male,u20
44,6.60,,Tim GOEBEL,04 MAR 1982,GER,1,Sindelfingen (GER) (i),13 FEB 2000,1153,60-metres,sprints,male,u20
44,6.60,,Tim GOEBEL,04 MAR 1982,GER,1sf2,Dortmund (GER) (i),25 FEB 2001,1153,60-metres,sprints,male,u20
44,6.60,,Walter DIX,31 JAN 1986,USA,1h1,"Fayetteville, AR (USA) (i)",11 MAR 2005,1153,60-metres,sprints,male,u20
44,6.60,,Christian COLEMAN,06 MAR 1996,USA,2h1,"Fayetteville, AR (USA) (i)",13 MAR 2015,1153,60-metres,sprints,male,u20
44,6.60,,Brendon STEWART,29 JUL 2000,USA,1f1,"Seattle, WA (USA) (i)",23 FEB 2019,1153,60-metres,sprints,male,u20
44,6.60,,Micah WILLIAMS,12 NOV 2001,USA,1,"New York, NY (USA) (i)",10 MAR 2019,1153,60-metres,sprints,male,u20
44,6.60,,Ajani DWYER,18 MAY 2006,USA,6h1,"Virginia Beach Sports Center, Virginia Beach, VA (USA) (i)",14 MAR 2025,1153,60-metres,sprints,male,u20
53,6.61,,Eugen RAY,26 JUL 1957,GDR,1,Berlin (GER) (i),14 JAN 1976,1147,60-metres,sprints,male,u20
53,6.61,,Sven MATTHES,23 AUG 1969,GDR,2,Torino (ITA) (i),10 FEB 1988,1147,60-metres,sprints,male,u20
53,6.61,,Leonard SCOTT,19 JAN 1980,USA,h,"Indianapolis, IN (USA) (i)",05 MAR 1999,1147,60-metres,sprints,male,u20
53,6.61,,Justin GATLIN,10 FEB 1982,USA,1,"Clemson, SC (USA) (i)",08 DEC 2000,1147,60-metres,sprints,male,u20
53,6.61,,Justin GATLIN,10 FEB 1982,USA,1h2,"Lexington, KY (USA) (i)",24 FEB 2001,1147,60-metres,sprints,male,u20
53,6.61,,Mark LEWIS-FRANCIS,04 SEP 1982,GBR,1h8,"Atlantic Pavillion, Lisboa (POR) (i)",11 MAR 2001,1147,60-metres,sprints,male,u20
53,6.61,,Yongyi WEN,03 JAN 1987,CHN,1,Beijing (CHN) (i),06 MAR 2005,1147,60-metres,sprints,male,u20
53,6.61,,Prezel HARDY,01 JUN 1992,USA,3,"College Station, TX (USA) (i)",29 JAN 2011,1147,60-metres,sprints,male,u20
53,6.61,,Cameron BURRELL,11 SEP 1994,USA,1f2,"Seattle, WA (USA) (i)",24 FEB 2013,1147,60-metres,sprints,male,u20
53,6.61,,Jonte BAKER,,USA,2,"Robert W. Plaster Center, Pittsburg, KS (USA) (i)",10 MAR 2018,1147,60-metres,sprints,male,u20
53,6.61,,Nyckoles HARBOR,05 JUL 2005,USA,2sf3,"Clemson Indoor Track & Field Complex, Clemson, SC (USA) (i)",09 FEB 2024,1147,60-metres,sprints,male,u20
53,6.61,,Marek ZAKRZEWSKI,18 DEC 2005,POL,1f1,"KGHM Sleza Arena, Wrocław (POL) (i)",10 FEB 2024,1147,60-metres,sprints,male,u20
53,6.61,,Okon Israel SUNDAY,11 NOV 2006,NGR,1sf1,"Clemson Indoor Track & Field Complex, Clemson, SC (USA) (i)",24 JAN 2025,1147,60-metres,sprints,male,u20
53,6.61,,Ajani DWYER,18 MAY 2006,USA,6,"Ocean Breeze Athl. Complex, New York, NY (USA) (i)",23 FEB 2025,1147,60-metres,sprints,male,u20
53,6.61,,Kyler BROWN,,USA,1,"The Track at New Balance, Boston, MA (USA) (i)",16 MAR 2025,1147,60-metres,sprints,male,u20
68,6.62,,Deworski ODOM,11 APR 1977,USA,1,"Syracuse, NY (USA) (i)",12 MAR 1995,1141,60-metres,sprints,male,u20
68,6.62,,Casey COMBEST,15 SEP 1980,USA,sf,"Columbus, OH (USA) (i)",14 MAR 1999,1141,60-metres,sprints,male,u20
68,6.62,,Tim GOEBEL,04 MAR 1982,GER,sf,Sindelfingen (GER) (i),13 FEB 2000,1141,60-metres,sprints,male,u20
68,6.62,,Tim GOEBEL,04 MAR 1982,GER,1,Sindelfingen (GER) (i),20 FEB 2000,1141,60-metres,sprints,male,u20
68,6.62,,Mark LEWIS-FRANCIS,04 SEP 1982,GBR,2,Glasgow (GBR) (i),18 MAR 2001,1141,60-metres,sprints,male,u20
68,6.62,,Yongyi WEN,03 JAN 1987,CHN,2,Beijing (CHN) (i),25 FEB 2006,1141,60-metres,sprints,male,u20
68,6.62,,Jalen MILLER,17 JUN 1995,USA,3,"New York, NY (USA) (i)",07 FEB 2014,1141,60-metres,sprints,male,u20
68,6.62,,Bolade AJOMALE,31 AUG 1995,CAN,1,Toronto (CAN) (i),01 MAR 2014,1141,60-metres,sprints,male,u20
68,6.62,,Yoshihide KIRYU,15 DEC 1995,JPN,6sf1,"Ergo Arena, Sopot (POL) (i)",08 MAR 2014,1141,60-metres,sprints,male,u20
68,6.62,,Christian COLEMAN,06 MAR 1996,USA,1h4,"Blacksburg, VA (USA) (i)",06 FEB 2015,1141,60-metres,sprints,male,u20
68,6.62,,Christian COLEMAN,06 MAR 1996,USA,1h2,"Lexington, KY (USA) (i)",27 FEB 2015,1141,60-metres,sprints,male,u20
68,6.62,,Christian COLEMAN,06 MAR 1996,USA,3,"Lexington, KY (USA) (i)",28 FEB 2015,1141,60-metres,sprints,male,u20
68,6.62,,Christian COLEMAN,06 MAR 1996,USA,6,"Fayetteville, AR (USA) (i)",14 MAR 2015,1141,60-metres,sprints,male,u20
68,6.62,,Jonte BAKER,,USA,2h1,"Robert W. Plaster Center, Pittsburg, KS (USA) (i)",09 MAR 2018,1141,60-metres,sprints,male,u20
68,6.62,,Anthony SCHWARTZ,05 SEP 2000,USA,1sf2,"New York, NY (USA) (i)",11 MAR 2018,1141,60-metres,sprints,male,u20
68,6.62,,Anthony SCHWARTZ,05 SEP 2000,USA,1h2,"Clemson, SC (USA) (i)",08 FEB 2019,1141,60-metres,sprints,male,u20
68,6.62,,Lance LANG,01 FEB 2001,USA,1f2,"Lexington, KY (USA) (i)",16 FEB 2019,1141,60-metres,sprints,male,u20
68,6.62,,Jonte BAKER,,USA,1,"Pittsburg, KS (USA) (i)",09 MAR 2019,1141,60-metres,sprints,male,u20
68,6.62,+0.3,Jeevan NEWBY,2004,JAM,1,"National Stadium, Kingston (JAM)",28 JAN 2023,1141,60-metres,sprints,male,u20
68,6.62,,Muhd Azeem FAHMI,29 APR 2004,MAS,5,"Clemson Indoor Track & Field Complex, Clemson, SC (USA) (i)",10 FEB 2023,1141,60-metres,sprints,male,u20
68,6.62,,Jeff ERIUS,08 MAR 2004,FRA,1,"Stadium Jean-Pellez, Aubiére (FRA) (i)",18 FEB 2023,1141,60-metres,sprints,male,u20
68,6.62,,Keli ZENG,28 SEP 2006,CHN,2,"Jiangsu Sports Bureau Training Center, Nanjing (CHN) (i)",16 MAR 2024,1141,60-metres,sprints,male,u20
68,6.62,,Naoki NISHIOKA,19 JUL 2006,JPN,1h3,"Osaka Castle Hall, Osaka (JPN) (i)",02 FEB 2025,1141,60-metres,sprints,male,u20
68,6.62,,Joshua CALEB,14 JUL 2006,NGR,1,"The Podium, Spokane, WA (USA) (i)",08 FEB 2025,1141,60-metres,sprints,male,u20
68,6.62,,Joshua CALEB,14 JUL 2006,NGR,2h7,"The Podium, Spokane, WA (USA) (i)",08 FEB 2025,1141,60-metres,sprints,male,u20
68,6.62,,Okon Israel SUNDAY,11 NOV 2006,NGR,1h8,"Clemson Indoor Track & Field Complex, Clemson, SC (USA) (i)",14 FEB 2025,1141,60-metres,sprints,male,u20
68,6.62,,Brayden WILLIAMS,02 APR 2007,USA,1,"Armory Track&Field Center, New York, NY (USA) (i)",16 MAR 2025,1141,60-metres,sprints,male,u20
68,6.62,,Brayden WILLIAMS,02 APR 2007,USA,1sf1,"Armory Track&Field Center, New York, NY (USA) (i)",16 MAR 2025,1141,60-metres,sprints,male,u20
68,6.62,,Cole CRAMER,,USA,2,"The Track at New Balance, Boston, MA (USA) (i)",16 MAR 2025,1141,60-metres,sprints,male,u20
68,6.62,,Naoki NISHIOKA,19 JUL 2006,JPN,4sf3,"Sports Training Center, Nanjing (CHN) (i)",21 MAR 2025,1141,60-metres,sprints,male,u20
98,6.63,,Konstantin GROMADSKIY,01 JUN 1972,URS,2,Kiev (URS) (i),27 FEB 1991,1136,60-metres,sprints,male,u20
98,6.63,,Ibrahim MEITÉ,18 NOV 1976,CIV,4sf2,"Palau Sant Jordi, Barcelona (ESP) (i)",10 MAR 1995,1136,60-metres,sprints,male,u20
98,6.63,,Sebastien CARON,05 FEB 1980,CAN,1,Sherbrooke (CAN) (i),26 FEB 1999,1136,60-metres,sprints,male,u20
