rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
53,57:56,,Kamel KOHIL,25 DEC 1971,ALG,5,Paris (FRA),18 OCT 1998,1129,20-kilometres,road-running,male,senior
54,57:57,,Luke METTO,1976,KEN,2,Paris (FRA),17 OCT 1999,1129,20-kilometres,road-running,male,senior
54,57:57,,Abdellah FALIL,1976,MAR,7,Alphen aan den Rijn (NED),09 MAR 2008,1129,20-kilometres,road-running,male,senior
54,57:57,,Enock OMWAMBA,04 APR 1993,KEN,1,Tachikawa (JPN),19 OCT 2013,1129,20-kilometres,road-running,male,senior
54,57:57,,Josphat Kiprono MENJO,20 AUG 1979,KEN,2,Paris (FRA),10 OCT 2021,1129,20-kilometres,road-running,male,senior
58,57:58,,Hendrick RAMAALA,02 FEB 1972,RSA,1,Alphen aan den Rijn (NED),12 MAR 2000,1128,20-kilometres,road-running,male,senior
58,57:58,,Raji ASSEFA,18 FEB 1986,ETH,2,Alphen aan den Rijn (NED),08 MAR 2009,1128,20-kilometres,road-running,male,senior
58,57:58,,Tessema ABSHERO,09 DEC 1986,ETH,3,Alphen aan den Rijn (NED),08 MAR 2009,1128,20-kilometres,road-running,male,senior
61,57:59,,Lahoussine MRIKIK,07 JUN 1972,MAR,3,Paris (FRA),17 OCT 1999,1127,20-kilometres,road-running,male,senior
62,58:00,,Daniel MUIVA KITONYI,12 JAN 1994,KEN,2,Tachikawa (JPN),19 OCT 2013,1127,20-kilometres,road-running,male,senior
63,58:03,,John KIPSANG,1974,KEN,6,Paris (FRA),18 OCT 1998,1124,20-kilometres,road-running,male,senior
63,58:03,,Rodgers ROP,16 FEB 1976,KEN,4,Alphen aan den Rijn (NED),11 MAR 2007,1124,20-kilometres,road-running,male,senior
65,58:04,,Greg VAN HEST,03 JUN 1973,NED,1,Alphen aan den Rijn (NED),13 MAR 1999,1124,20-kilometres,road-running,male,senior
65,58:04,,John KIPROTICH,05 JUN 1983,KEN,4,Paris (FRA),12 OCT 2008,1124,20-kilometres,road-running,male,senior
65,58:04,,Yann SCHRUB,20 MAR 1996,FRA,1,Paris (FRA),09 OCT 2022,1124,20-kilometres,road-running,male,senior
65,58:04,,Elvis TABARACH,20 JUN 1997,KEN,2,Paris (FRA),09 OCT 2022,1124,20-kilometres,road-running,male,senior
69,58:05,,Abdelilah ELMAIMOUNI,01 MAY 1992,MAR,3,Paris (FRA),09 OCT 2022,1123,20-kilometres,road-running,male,senior
69,58:05,,Hayimro YELE,13 JAN 1998,ETH,1,Paris (FRA),13 OCT 2024,1123,20-kilometres,road-running,male,senior
71,58:07,,Dennis MUSAU,10 JUN 1983,KEN,1,Paris (FRA),14 OCT 2007,1122,20-kilometres,road-running,male,senior
71,58:07,,Tebalu ZAWUDE HEYI,02 NOV 1987,ETH,1,Paris (FRA),13 OCT 2013,1122,20-kilometres,road-running,male,senior
71,58:07,,Yann SCHRUB,20 MAR 1996,FRA,2,Paris (FRA),13 OCT 2024,1122,20-kilometres,road-running,male,senior
74,58:08,,Toshihiko SEKO,15 JUL 1956,JPN,1,Fuchu (JPN),18 NOV 1979,1121,20-kilometres,road-running,male,senior
74,58:08,,Paul Kimaiyo KIMUGUL,04 MAR 1980,KEN,5,Alphen aan den Rijn (NED),11 MAR 2007,1121,20-kilometres,road-running,male,senior
74,58:08,,Jonathan MAIYO,05 MAY 1988,KEN,2,Paris (FRA),14 OCT 2007,1121,20-kilometres,road-running,male,senior
74,58:08,,Charles BARONGO OGARI,15 OCT 1992,KEN,2,Paris (FRA),13 OCT 2013,1121,20-kilometres,road-running,male,senior
74,58:08,,Stephan BARONGO OGARI,15 OCT 1992,KEN,4,Paris (FRA),09 OCT 2022,1121,20-kilometres,road-running,male,senior
74,58:08,,Erick Leon NDIEMA,01 JAN 1990,KEN,5,Paris (FRA),09 OCT 2022,1121,20-kilometres,road-running,male,senior
80,58:09,,Joseph KIBOR,22 DEC 1972,KEN,2,Alphen aan den Rijn (NED),13 MAR 1999,1120,20-kilometres,road-running,male,senior
80,58:09,,David NDEGWA MAINA,17 DEC 1972,KEN,4,Paris (FRA),17 OCT 1999,1120,20-kilometres,road-running,male,senior
80,58:09,,Michele GAMBA,02 OCT 1972,ITA,1,Almeirim (POR),22 JAN 2001,1120,20-kilometres,road-running,male,senior
80,58:09,,Philimon TERER,1985,KEN,3,Paris (FRA),14 OCT 2007,1120,20-kilometres,road-running,male,senior
80,58:09,,Hillary BOR,22 NOV 1989,USA,1,"New Haven, CT (USA)",02 SEP 2024,1120,20-kilometres,road-running,male,senior
80,58:09,,Emmanuel ROUDOLFF,30 JUL 1995,FRA,3,Paris (FRA),13 OCT 2024,1120,20-kilometres,road-running,male,senior
86,58:10,,Paulo CATARINO,30 SEP 1963,POR,2,Almeirim (POR),22 JAN 2001,1120,20-kilometres,road-running,male,senior
86,58:10,,Sammy Kipkorir KIBET,,KEN,4,Paris (FRA),14 OCT 2007,1120,20-kilometres,road-running,male,senior
86,58:10,,John Nzau MWANGANGI,01 NOV 1990,KEN,1,Paris (FRA),10 OCT 2010,1120,20-kilometres,road-running,male,senior
86,58:10,,Mehdi FRÈRE,27 JUL 1996,FRA,6,Paris (FRA),09 OCT 2022,1120,20-kilometres,road-running,male,senior
90,58:11,,Alberto CHAICA,17 SEP 1973,POR,3,Almeirim (POR),22 JAN 2001,1119,20-kilometres,road-running,male,senior
90,58:11,,Josphat Muchiri NDAMBIRI,12 FEB 1985,KEN,1,Tachikawa (JPN),16 OCT 2004,1119,20-kilometres,road-running,male,senior
90,58:11,,Mohamed EL HACHIMI,05 SEP 1980,MAR,4,Alphen aan den Rijn (NED),08 MAR 2009,1119,20-kilometres,road-running,male,senior
90,58:11,,Simon KARIUKI,01 APR 1996,KEN,3,Tachikawa (JPN),14 OCT 2017,1119,20-kilometres,road-running,male,senior
94,58:12,,Jakob KITUR,1975,KEN,5,Paris (FRA),14 OCT 2007,1118,20-kilometres,road-running,male,senior
94,58:12,,Ezechiel NIZIGIYIMANA,30 MAR 1990,BDI,1,Paris (FRA),14 OCT 2012,1118,20-kilometres,road-running,male,senior
96,58:14,,Elvis TABARACH,20 JUN 1997,KEN,4,Paris (FRA),13 OCT 2024,1117,20-kilometres,road-running,male,senior
97,58:15,,Richard Mutai KIPRONO,1974,KEN,1,Alphen aan den Rijn (NED),11 MAR 2001,1116,20-kilometres,road-running,male,senior
97,58:15,,John Nzau MWANGANGI,01 NOV 1990,KEN,1,Paris (FRA),09 OCT 2011,1116,20-kilometres,road-running,male,senior
97,58:15,,Patrick MATHENGE,02 NOV 1997,KEN,1,Tachikawa (JPN),16 OCT 2016,1116,20-kilometres,road-running,male,senior
97,58:15,,Dominic Lokinyomo LOBALU,16 AUG 1998,SUI,1,Genève (SUI),06 NOV 2022,1116,20-kilometres,road-running,male,senior
