rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
62,80.23,,Bence PÁSZTOR,05 FEB 1995,HUN,1,Slovenj Gradec (SLO),05 JUL 2014,,hammer-throw-6kg,throws,male,u20
63,80.21,,Humberto MANSILLA,22 MAY 1996,CHI,1,Edmonton (CAN),02 AUG 2015,,hammer-throw-6kg,throws,male,u20
64,80.12,,Anatoliy POZDNYAKOV,01 FEB 1987,RUS,2,Tula (RUS),22 JUL 2006,,hammer-throw-6kg,throws,male,u20
64,80.12,,Aleksi JAAKKOLA,17 NOV 1997,FIN,1,Tampere (FIN),20 AUG 2016,,hammer-throw-6kg,throws,male,u20
66,80.05,,Yevgeniy AYDAMIROV,11 MAY 1987,RUS,1,Tula (RUS),15 JUL 2006,,hammer-throw-6kg,throws,male,u20
66,80.05,,Christos FRANTZESKAKIS,26 APR 2000,GRE,1,Halle (GER),26 MAY 2018,,hammer-throw-6kg,throws,male,u20
68,79.99,,Bence PÁSZTOR,05 FEB 1995,HUN,2,"Hayward Field, Eugene, OR (USA)",25 JUL 2014,,hammer-throw-6kg,throws,male,u20
69,79.98,,Kristóf NÉMETH,17 SEP 1987,HUN,1,Szombathely (HUN),24 JUN 2006,,hammer-throw-6kg,throws,male,u20
69,79.98,,Ashraf ELSEIFY,20 FEB 1995,QAT,1q1,"Estadio Olímpico, Barcelona (ESP)",13 JUL 2012,,hammer-throw-6kg,throws,male,u20
71,79.96,,Ashraf ELSEIFY,20 FEB 1995,QAT,1,Doha (QAT),12 MAR 2012,,hammer-throw-6kg,throws,male,u20
71,79.96,,Alexei MIKHAILOV,12 APR 1996,GER,1,Leverkusen (GER),30 MAY 2015,,hammer-throw-6kg,throws,male,u20
73,79.93,,Aleksi JAAKKOLA,17 NOV 1997,FIN,1,Hafnarfjördur (ISL),14 AUG 2016,,hammer-throw-6kg,throws,male,u20
74,79.90,,Merlin HUMMEL,04 JAN 2002,GER,1q1,"Kadrioru staadion, Tallinn (EST)",15 JUL 2021,,hammer-throw-6kg,throws,male,u20
75,79.88,,Werner SMIT,14 SEP 1984,RSA,1,Pretoria (RSA),06 APR 2003,,hammer-throw-6kg,throws,male,u20
76,79.86,,Bence HALÁSZ,04 AUG 1997,HUN,1,Halle (GER),16 MAY 2015,,hammer-throw-6kg,throws,male,u20
77,79.84,,Yevgeniy AYDAMIROV,11 MAY 1987,RUS,1,"Adler, Sochi (RUS)",18 FEB 2006,,hammer-throw-6kg,throws,male,u20
77,79.84,,Ahmed Tarek ISMAIL,18 OCT 1997,EGY,1,Kapfenberg (AUT),24 JUN 2016,,hammer-throw-6kg,throws,male,u20
79,79.81,,Hilmar Örn JÓNSSON,06 MAY 1996,ISL,1,Hafnarfjördur (ISL),22 JUL 2015,,hammer-throw-6kg,throws,male,u20
80,79.80,,Mykhaylo KOKHAN,22 JAN 2001,UKR,1,Antalya (TUR),09 JAN 2020,,hammer-throw-6kg,throws,male,u20
80,79.80,,Iosif KESIDIS,19 AUG 2005,CYP,1,"Tsirio Stadium, Limassol (CYP)",05 JUL 2024,,hammer-throw-6kg,throws,male,u20
82,79.76,,Quentin BIGOT,01 DEC 1992,FRA,1,Luxembourg (LUX),08 JUL 2011,,hammer-throw-6kg,throws,male,u20
83,79.75,,Merlin HUMMEL,04 JAN 2002,GER,1,"Frankenstadion, Heilbronn (GER)",04 SEP 2020,,hammer-throw-6kg,throws,male,u20
84,79.72,,Valeriy PRONKIN,15 JUN 1994,RUS,1,Krasnodar (RUS),16 MAY 2013,,hammer-throw-6kg,throws,male,u20
84,79.72,,Max LAMPINEN,11 OCT 2004,FIN,1f1,"Givat Ram Stadium, Jerusalem (ISR)",09 AUG 2023,,hammer-throw-6kg,throws,male,u20
86,79.71,,Ashraf ELSEIFY,20 FEB 1995,QAT,1,Taipei City (TPE),12 JUN 2014,,hammer-throw-6kg,throws,male,u20
87,79.68,,Mykhaylo KOKHAN,22 JAN 2001,UKR,2,"Ratinan Stadion, Tampere (FIN)",13 JUL 2018,,hammer-throw-6kg,throws,male,u20
88,79.67,,Yevgeniy AYDAMIROV,11 MAY 1987,RUS,1,Tula (RUS),26 JUN 2005,,hammer-throw-6kg,throws,male,u20
88,79.67,,Ashraf ELSEIFY,20 FEB 1995,QAT,1,Al-Kuwait (KUW),04 APR 2012,,hammer-throw-6kg,throws,male,u20
90,79.66,,Merlin HUMMEL,04 JAN 2002,GER,1,"Hammerwurf-Anlage KSV Fürth, Fürth (GER)",22 MAY 2021,,hammer-throw-6kg,throws,male,u20
91,79.62,,Alaa EL ASHRY,06 JAN 1991,EGY,1,Cairo (EGY),19 NOV 2010,,hammer-throw-6kg,throws,male,u20
92,79.60,,Bence HALÁSZ,04 AUG 1997,HUN,1,"Ekängens Friidrottsarena, Eskilstuna (SWE)",17 JUL 2015,,hammer-throw-6kg,throws,male,u20
93,79.59,,Dawid PIŁAT,06 FEB 2002,POL,1,"Kadrioru staadion, Tallinn (EST)",16 JUL 2021,,hammer-throw-6kg,throws,male,u20
94,79.58,,Hlib PISKUNOV,25 NOV 1998,UKR,2,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",22 JUL 2016,,hammer-throw-6kg,throws,male,u20
95,79.56,,Mohsen ANANI,21 MAY 1985,EGY,1,Cairo (EGY),28 DEC 2004,,hammer-throw-6kg,throws,male,u20
96,79.55,,Anatoliy POZDNYAKOV,01 FEB 1987,RUS,2,Tula (RUS),15 JUL 2006,,hammer-throw-6kg,throws,male,u20
96,79.55,,Jake NORRIS,30 JUN 1999,GBR,1,"Baton Rouge, LA (USA)",07 APR 2018,,hammer-throw-6kg,throws,male,u20
98,79.54,,Andriy MARTYNYUK,23 SEP 1990,UKR,1,"Karađorđe Stadium, Novi Sad (SRB)",26 JUL 2009,,hammer-throw-6kg,throws,male,u20
99,79.50,,Dawid PIŁAT,06 FEB 2002,POL,1,"Stadion MOSiR, Stalowa Wola (POL)",05 JUN 2021,,hammer-throw-6kg,throws,male,u20
100,79.45,,Werner SMIT,14 SEP 1984,RSA,1,Bellville (RSA),22 MAR 2003,,hammer-throw-6kg,throws,male,u20
