Rank,Mark,Wind,Competitor,DOB,Nationality,Position,Venue,Date,Result Score,Discipline,Type,Gender,Age Category,normalized_discpline,track_field,mark_numeric,venue_country_code,age_at_event,season
12,73.28,,Galina SAVINKOVA,1953-07-15,URS,1,Donetsk (URS),1984-09-08,1317,discus-throw,throws,female,senior,discus-throw,field,73.28,URS,31.0,1984
13,73.26,,Galina SAVINKOVA,1953-07-15,URS,1,Leselidze (URS),1983-05-22,1316,discus-throw,throws,female,senior,discus-throw,field,73.26,URS,29.0,1983
13,73.26,,Diana GANSKY,1963-12-14,GDR,1,Neubrandenburg (GDR),1986-06-06,1316,discus-throw,throws,female,senior,discus-throw,field,73.26,GDR,22.0,1986
15,73.24,,Diana GANSKY,1963-12-14,GDR,1,Leipzig (GER),1987-05-29,1316,discus-throw,throws,female,senior,discus-throw,field,73.24,GER,23.0,1987
16,73.22,,Tsvetanka KHRISTOVA,1962-03-14,BUL,1,Kazanlak (BUL),1987-04-19,1316,discus-throw,throws,female,senior,discus-throw,field,73.22,BUL,25.0,1987
17,73.16,,Ilke WYLUDDA,1969-03-28,GDR,,Berlin (GER),1988-09-13,1315,discus-throw,throws,female,senior,discus-throw,field,73.16,GER,19.0,1988
2,73.16,,Ilke WYLUDDA,1969-03-28,GDR,,Berlin (GER),1988-09-13,1315,discus-throw,throws,female,u20,discus-throw,field,73.16,GER,19.0,1988
18,73.1,,Gisela BEYER,1960-07-16,GDR,1,Berlin (GDR),1984-07-20,1313,discus-throw,throws,female,senior,discus-throw,field,73.1,GDR,24.0,1984
19,73.09,,Yaimé PÉREZ,1991-05-29,CUB,1,"Millican Field at Throw Town, Ramona, OK (USA)",2024-04-13,1313,discus-throw,throws,female,senior,discus-throw,field,73.09,USA,32.0,2024
20,73.04,,Diana GANSKY,1963-12-14,GDR,1,Potsdam (GDR),1987-06-06,1312,discus-throw,throws,female,senior,discus-throw,field,73.04,GDR,23.0,1987
20,73.04,,Ilke WYLUDDA,1969-03-28,GDR,1,Gateshead (GBR),1989-08-05,1312,discus-throw,throws,female,senior,discus-throw,field,73.04,GBR,20.0,1989
22,72.96,,Galina SAVINKOVA,1953-07-15,URS,1,Erfurt (GER),1985-06-23,1311,discus-throw,throws,female,senior,discus-throw,field,72.96,GER,31.0,1985
23,72.94,,Diana GANSKY,1963-12-14,GDR,2,Neubrandenburg (GDR),1988-07-09,1310,discus-throw,throws,female,senior,discus-throw,field,72.94,GDR,24.0,1988
24,72.92,,Martina HELLMANN,1960-12-12,GDR,1,Potsdam (GDR),1987-08-20,1310,discus-throw,throws,female,senior,discus-throw,field,72.92,GDR,26.0,1987
25,72.78,,Gabriele REINSCH,1963-09-23,GDR,1,Berlin (GER),1988-06-29,1308,discus-throw,throws,female,senior,discus-throw,field,72.78,GER,24.0,1988
25,72.78,,Martina HELLMANN,1960-12-12,GDR,2,Neubrandenburg (GDR),1987-06-11,1308,discus-throw,throws,female,senior,discus-throw,field,72.78,GDR,26.0,1987
27,72.72,,Ilke WYLUDDA,1969-03-28,GDR,1,Neubrandenburg (GDR),1989-06-23,1306,discus-throw,throws,female,senior,discus-throw,field,72.72,GDR,20.0,1989
3,72.7,,Ilke WYLUDDA,1969-03-28,GDR,1,Karl Marx Stadt (GDR),1988-07-15,1306,discus-throw,throws,female,u20,discus-throw,field,72.7,GDR,19.0,1988
28,72.7,,Ilke WYLUDDA,1969-03-28,GDR,1,Karl Marx Stadt (GDR),1988-07-15,1306,discus-throw,throws,female,senior,discus-throw,field,72.7,GDR,19.0,1988
29,72.54,,Diana GANSKY,1963-12-14,GDR,1,Rostock (GER),1988-06-25,1303,discus-throw,throws,female,senior,discus-throw,field,72.54,GER,24.0,1988
30,72.52,,Tsvetanka KHRISTOVA,1962-03-14,BUL,1,Budapest (HUN),1986-08-11,1303,discus-throw,throws,female,senior,discus-throw,field,72.52,HUN,24.0,1986
30,72.52,,Martina HELLMANN,1960-12-12,GDR,1,Frohburg (GDR),1986-06-15,1303,discus-throw,throws,female,senior,discus-throw,field,72.52,GDR,25.0,1986
32,72.44,,Diana GANSKY,1963-12-14,GDR,1,Potsdam (GDR),1987-07-07,1301,discus-throw,throws,female,senior,discus-throw,field,72.44,GDR,23.0,1987
33,72.38,,Diana GANSKY,1963-12-14,GDR,1,Berlin (GER),1987-08-25,1300,discus-throw,throws,female,senior,discus-throw,field,72.38,GER,23.0,1987
34,72.36,,Diana GANSKY,1963-12-14,GDR,1,Potsdam (GDR),1987-05-21,1300,discus-throw,throws,female,senior,discus-throw,field,72.36,GDR,23.0,1987
35,72.32,,Diana GANSKY,1963-12-14,GDR,1,Schwerin (GER),1987-06-03,1299,discus-throw,throws,female,senior,discus-throw,field,72.32,GER,23.0,1987
35,72.32,,Martina HELLMANN,1960-12-12,GDR,1,Leipzig (GER),1984-07-13,1299,discus-throw,throws,female,senior,discus-throw,field,72.32,GER,23.0,1984
37,72.3,,Diana GANSKY,1963-12-14,GDR,1,Potsdam (GDR),1986-05-22,1299,discus-throw,throws,female,senior,discus-throw,field,72.3,GDR,22.0,1986
37,72.3,,Martina HELLMANN,1960-12-12,GDR,1,"Olympic Stadium, Seoul (KOR)",1988-09-29,1299,discus-throw,throws,female,senior,discus-throw,field,72.3,KOR,27.0,1988
37,72.3,,Diana GANSKY,1963-12-14,GDR,1,Erfurt (GER),1986-06-01,1299,discus-throw,throws,female,senior,discus-throw,field,72.3,GER,22.0,1986
40,72.28,,Gisela BEYER,1960-07-16,GDR,1,Berlin (GER),1984-07-15,1298,discus-throw,throws,female,senior,discus-throw,field,72.28,GER,24.0,1984
41,72.24,,Ilke WYLUDDA,1969-03-28,GDR,3,Neubrandenburg (GDR),1988-07-09,1298,discus-throw,throws,female,senior,discus-throw,field,72.24,GDR,19.0,1988
4,72.24,,Ilke WYLUDDA,1969-03-28,GDR,3,Neubrandenburg (GDR),1988-07-09,1298,discus-throw,throws,female,u20,discus-throw,field,72.24,GDR,19.0,1988
42,72.18,,Ilke WYLUDDA,1969-03-28,GDR,1,Macerata (ITA),1989-09-05,1296,discus-throw,throws,female,senior,discus-throw,field,72.18,ITA,20.0,1989
43,72.14,,Galina MURAŠOVA,1955-12-22,URS,2,Praha (TCH),1984-08-17,1296,discus-throw,throws,female,senior,discus-throw,field,72.14,TCH,28.0,1984
44,72.12,,Martina HELLMANN,1960-12-12,GDR,2,Leipzig (GER),1987-05-29,1295,discus-throw,throws,female,senior,discus-throw,field,72.12,GER,26.0,1987
44,72.12,,Diana GANSKY,1963-12-14,GDR,1,Tallinn (EST),1986-06-21,1295,discus-throw,throws,female,senior,discus-throw,field,72.12,EST,22.0,1986
46,72.02,,Irina MESZYNSKI,1962-03-24,GDR,2,Berlin (GDR),1984-07-20,1293,discus-throw,throws,female,senior,discus-throw,field,72.02,GDR,22.0,1984
46,72.02,,Martina HELLMANN,1960-12-12,GDR,1,Chania (GRE),1988-05-22,1293,discus-throw,throws,female,senior,discus-throw,field,72.02,GRE,27.0,1988
48,72.0,,Zdeňka ŠILHAVÁ,1954-06-15,TCH,1,Litomyšl (TCH),1984-07-28,1293,discus-throw,throws,female,senior,discus-throw,field,72.0,TCH,30.0,1984
49,71.98,,Ilke WYLUDDA,1969-03-28,GDR,2,Karl Marx Stadt (GDR),1988-06-12,1293,discus-throw,throws,female,senior,discus-throw,field,71.98,GDR,19.0,1988
5,71.98,,Ilke WYLUDDA,1969-03-28,GDR,2,Karl Marx Stadt (GDR),1988-06-12,1293,discus-throw,throws,female,u20,discus-throw,field,71.98,GDR,19.0,1988
50,71.9,,Tsvetanka KHRISTOVA,1962-03-14,BUL,1,Stara Zagora (BUL),1986-07-19,1291,discus-throw,throws,female,senior,discus-throw,field,71.9,BUL,24.0,1986
51,71.88,,Diana GANSKY,1963-12-14,GDR,2,"Olympic Stadium, Seoul (KOR)",1988-09-29,1291,discus-throw,throws,female,senior,discus-throw,field,71.88,KOR,24.0,1988
51,71.88,,Gabriele REINSCH,1963-09-23,GDR,2,Rostock (GER),1988-06-25,1291,discus-throw,throws,female,senior,discus-throw,field,71.88,GER,24.0,1988
51,71.88,,Ilke WYLUDDA,1969-03-28,GDR,1,Athina (GRE),1988-05-16,1291,discus-throw,throws,female,senior,discus-throw,field,71.88,GRE,19.0,1988
6,71.88,,Ilke WYLUDDA,1969-03-28,GDR,1,Athina (GRE),1988-05-16,1291,discus-throw,throws,female,u20,discus-throw,field,71.88,GRE,19.0,1988
54,71.86,,Gabriele REINSCH,1963-09-23,GDR,2,Neubrandenburg (GDR),1989-06-23,1290,discus-throw,throws,female,senior,discus-throw,field,71.86,GDR,25.0,1989
55,71.8,,Mariya PETKOVA,1950-11-03,BUL,1,Sofia (BUL),1980-07-13,1289,discus-throw,throws,female,senior,discus-throw,field,71.8,BUL,29.0,1980
55,71.8,,Tsvetanka KHRISTOVA,1962-03-14,BUL,1,Bratislava (TCH),1986-06-14,1289,discus-throw,throws,female,senior,discus-throw,field,71.8,TCH,24.0,1986
57,71.68,,Zdeňka ŠILHAVÁ,1954-06-15,TCH,1,Praha (TCH),1988-05-15,1287,discus-throw,throws,female,senior,discus-throw,field,71.68,TCH,33.0,1988
57,71.68,,Yanling XIAO,1968-03-27,CHN,1,Beijing (CHN),1992-03-14,1287,discus-throw,throws,female,senior,discus-throw,field,71.68,CHN,23.0,1992
7,71.64,,Ilke WYLUDDA,1969-03-28,GDR,2,Potsdam (GDR),1987-08-20,1286,discus-throw,throws,female,u20,discus-throw,field,71.64,GDR,18.0,1987
59,71.64,,Zdeňka ŠILHAVÁ,1954-06-15,TCH,1,Litomyšl (TCH),1988-08-06,1286,discus-throw,throws,female,senior,discus-throw,field,71.64,TCH,34.0,1988
59,71.64,,Gabriele REINSCH,1963-09-23,GDR,1,Potsdam (GDR),1988-05-12,1286,discus-throw,throws,female,senior,discus-throw,field,71.64,GDR,24.0,1988
59,71.64,,Diana GANSKY,1963-12-14,GDR,2,Athina (GRE),1988-05-16,1286,discus-throw,throws,female,senior,discus-throw,field,71.64,GRE,24.0,1988
59,71.64,,Gabriele REINSCH,1963-09-23,GDR,1,Jena (GDR),1988-06-04,1286,discus-throw,throws,female,senior,discus-throw,field,71.64,GDR,24.0,1988
59,71.64,,Ilke WYLUDDA,1969-03-28,GDR,2,Potsdam (GDR),1987-08-20,1286,discus-throw,throws,female,senior,discus-throw,field,71.64,GDR,18.0,1987
64,71.62,,Martina HELLMANN,1960-12-12,GDR,1,"Stadio Olimpico, Roma (ITA)",1987-08-31,1286,discus-throw,throws,female,senior,discus-throw,field,71.62,ITA,26.0,1987
65,71.6,,Martina HELLMANN,1960-12-12,GDR,3,Berlin (GDR),1984-07-20,1286,discus-throw,throws,female,senior,discus-throw,field,71.6,GDR,23.0,1984
66,71.58,,Ellina ZVEREVA,1960-11-16,URS,1,Leningrad (URS),1988-06-12,1285,discus-throw,throws,female,senior,discus-throw,field,71.58,URS,27.0,1988
67,71.54,,Ilke WYLUDDA,1969-03-28,GDR,1,"Estadio Olímpico, Barcelona (ESP)",1989-09-10,1285,discus-throw,throws,female,senior,discus-throw,field,71.54,ESP,20.0,1989
8,71.54,,Ilke WYLUDDA,1969-03-28,GDR,1,Rostock (GER),1988-05-29,1285,discus-throw,throws,female,u20,discus-throw,field,71.54,GER,19.0,1988
67,71.54,,Ilke WYLUDDA,1969-03-28,GDR,1,Rostock (GER),1988-05-29,1285,discus-throw,throws,female,senior,discus-throw,field,71.54,GER,19.0,1988
69,71.5,,Diana GANSKY,1963-12-14,GDR,3,Potsdam (GDR),1987-08-20,1284,discus-throw,throws,female,senior,discus-throw,field,71.5,GDR,23.0,1987
69,71.5,,Evelin JAHL,1956-03-28,GDR,1,Potsdam (GDR),1980-05-10,1284,discus-throw,throws,female,senior,discus-throw,field,71.5,GDR,24.0,1980
71,71.46,,Valarie ALLMAN,1995-02-23,USA,1,"Triton Stadium, San Diego, CA (USA)",2022-04-08,1283,discus-throw,throws,female,senior,discus-throw,field,71.46,USA,27.0,2022
71,71.46,,Evelin JAHL,1956-03-28,GDR,1,Berlin (GER),1981-06-10,1283,discus-throw,throws,female,senior,discus-throw,field,71.46,GER,25.0,1981
73,71.41,,Sandra PERKOVIĆ,1990-06-21,CRO,1,Bellinzona (SUI),2017-07-18,1282,discus-throw,throws,female,senior,discus-throw,field,71.41,SUI,27.0,2017
74,71.4,,Irina MESZYNSKI,1962-03-24,GDR,1,Karl Marx Stadt (GDR),1982-07-10,1282,discus-throw,throws,female,senior,discus-throw,field,71.4,GDR,20.0,1982
75,71.38,,Sandra PERKOVIĆ,1990-06-21,CRO,1,"Suhaim bin Hamad Stadium, Doha (QAT)",2018-05-04,1282,discus-throw,throws,female,senior,discus-throw,field,71.38,QAT,27.0,2018
75,71.38,,Martina HELLMANN,1960-12-12,GDR,4,Neubrandenburg (GDR),1988-07-09,1282,discus-throw,throws,female,senior,discus-throw,field,71.38,GDR,27.0,1988
77,71.36,,Diana GANSKY,1963-12-14,GDR,1,"Neckarstadion, Stuttgart (GER)",1986-08-28,1281,discus-throw,throws,female,senior,discus-throw,field,71.36,GER,22.0,1986
78,71.3,,Mariya PETKOVA,1950-11-03,BUL,1,Sofia (BUL),1981-08-01,1280,discus-throw,throws,female,senior,discus-throw,field,71.3,BUL,30.0,1981
78,71.3,,Larisa KOROTKEVICH,1967-01-03,RUS,1,Sochi (RUS),1992-05-29,1280,discus-throw,throws,female,senior,discus-throw,field,71.3,RUS,25.0,1992
80,71.26,,Martina HELLMANN,1960-12-12,GDR,2,Jena (GDR),1988-06-04,1279,discus-throw,throws,female,senior,discus-throw,field,71.26,GDR,27.0,1988
81,71.22,,Ria STALMAN,1951-12-11,NED,1,"Walnut, CA (USA)",1984-07-15,1279,discus-throw,throws,female,senior,discus-throw,field,71.22,USA,32.0,1984
81,71.22,,Ellina ZVEREVA,1960-11-16,URS,1,Leselidze (URS),1988-05-22,1279,discus-throw,throws,female,senior,discus-throw,field,71.22,URS,27.0,1988
81,71.22,,Mariya PETKOVA,1950-11-03,BUL,1,Sofia (BUL),1984-07-29,1279,discus-throw,throws,female,senior,discus-throw,field,71.22,BUL,33.0,1984
84,71.2,,Mariya PETKOVA,1950-11-03,BUL,1,Sofia (BUL),1982-08-28,1278,discus-throw,throws,female,senior,discus-throw,field,71.2,BUL,31.0,1982
85,71.18,,Galina SAVINKOVA,1953-07-15,URS,1,Bucureşti (ROU),1984-09-16,1278,discus-throw,throws,female,senior,discus-throw,field,71.18,ROU,31.0,1984
86,71.16,,Valarie ALLMAN,1995-02-23,USA,1,"Olympiastadion, Berlin (GER)",2021-09-12,1278,discus-throw,throws,female,senior,discus-throw,field,71.16,GER,26.0,2021
87,71.12,,Ellina ZVEREVA,1960-11-16,URS,1,Sochi (URS),1988-05-31,1277,discus-throw,throws,female,senior,discus-throw,field,71.12,URS,27.0,1988
88,71.1,,Ilke WYLUDDA,1969-03-28,GDR,1,Tel Aviv (ISR),1990-05-27,1276,discus-throw,throws,female,senior,discus-throw,field,71.1,ISR,21.0,1990
89,71.08,,Sandra PERKOVIĆ,1990-06-21,CRO,1,"Letzigrund, Zürich (SUI)",2014-08-16,1276,discus-throw,throws,female,senior,discus-throw,field,71.08,SUI,24.0,2014
90,71.06,,Tsvetanka KHRISTOVA,1962-03-14,BUL,1,Stara Zagora (BUL),1988-08-28,1276,discus-throw,throws,female,senior,discus-throw,field,71.06,BUL,26.0,1988
91,71.04,,Ilke WYLUDDA,1969-03-28,GDR,1,Berlin (GER),1989-07-05,1275,discus-throw,throws,female,senior,discus-throw,field,71.04,GER,20.0,1989
92,71.02,,Martina HELLMANN,1960-12-12,GDR,1,Jena (GDR),1986-06-28,1275,discus-throw,throws,female,senior,discus-throw,field,71.02,GDR,25.0,1986
92,71.02,,Diana GANSKY,1963-12-14,GDR,3,Karl Marx Stadt (GDR),1988-06-12,1275,discus-throw,throws,female,senior,discus-throw,field,71.02,GDR,24.0,1988
92,71.02,,Tsvetanka KHRISTOVA,1962-03-14,BUL,1,"National Stadium, Tokyo (JPN)",1991-08-31,1275,discus-throw,throws,female,senior,discus-throw,field,71.02,JPN,29.0,1991
92,71.02,,Gisela BEYER,1960-07-16,GDR,1,Split (CRO),1984-04-30,1275,discus-throw,throws,female,senior,discus-throw,field,71.02,CRO,23.0,1984
96,71.0,,Galina SAVINKOVA,1953-07-15,URS,1,Oslo (NOR),1985-07-16,1275,discus-throw,throws,female,senior,discus-throw,field,71.0,NOR,32.0,1985
97,70.96,,Ilke WYLUDDA,1969-03-28,GER,1,Sevilla (ESP),1992-06-06,1274,discus-throw,throws,female,senior,discus-throw,field,70.96,ESP,23.0,1992
97,70.96,,Gisela BEYER,1960-07-16,GDR,1,Erfurt (GER),1983-05-29,1274,discus-throw,throws,female,senior,discus-throw,field,70.96,GER,22.0,1983
97,70.96,,Diana GANSKY,1963-12-14,GDR,3,Berlin (GER),1988-09-13,1274,discus-throw,throws,female,senior,discus-throw,field,70.96,GER,24.0,1988
97,70.96,,Ilke WYLUDDA,1969-03-28,GDR,1,Karl Marx Stadt (GDR),1989-07-01,1274,discus-throw,throws,female,senior,discus-throw,field,70.96,GDR,20.0,1989
101,70.89,,Valarie ALLMAN,1995-02-23,USA,1q1,"Hayward Field, Eugene, OR (USA)",2024-06-24,1273,discus-throw,throws,female,senior,discus-throw,field,70.89,USA,29.0,2024
102,70.88,,Gisela BEYER,1960-07-16,GDR,1,Rijeka (CRO),1984-05-02,1272,discus-throw,throws,female,senior,discus-throw,field,70.88,CRO,23.0,1984
102,70.88,,Diana GANSKY,1963-12-14,GDR,1,Potsdam (GDR),1986-06-11,1272,discus-throw,throws,female,senior,discus-throw,field,70.88,GDR,22.0,1986
102,70.88,,Hilda Elisa RAMOS,1964-09-01,CUB,1,La Habana (CUB),1992-05-08,1272,discus-throw,throws,female,senior,discus-throw,field,70.88,CUB,27.0,1992
102,70.88,,Sandra PERKOVIĆ,1990-06-21,CRO,1,"Shanghai Stadium, Shanghai (CHN)",2016-05-14,1272,discus-throw,throws,female,senior,discus-throw,field,70.88,CHN,25.0,2016
106,70.86,,Galina MURAŠOVA,1955-12-22,URS,1,Sochi (URS),1984-05-19,1272,discus-throw,throws,female,senior,discus-throw,field,70.86,URS,28.0,1984
106,70.86,,Tsvetanka KHRISTOVA,1962-03-14,BUL,1,Sofia (BUL),1987-08-15,1272,discus-throw,throws,female,senior,discus-throw,field,70.86,BUL,25.0,1987
108,70.84,,Martina HELLMANN,1960-12-12,GDR,2,Leningrad (URS),1988-06-12,1272,discus-throw,throws,female,senior,discus-throw,field,70.84,URS,27.0,1988
109,70.83,,Sandra PERKOVIĆ,1990-06-21,CRO,1,"Sports Park Mladost, Zagreb (CRO)",2017-08-29,1271,discus-throw,throws,female,senior,discus-throw,field,70.83,CRO,27.0,2017
110,70.82,,Tsvetanka KHRISTOVA,1962-03-14,BUL,1,Sofia (BUL),1986-08-03,1271,discus-throw,throws,female,senior,discus-throw,field,70.82,BUL,24.0,1986
9,70.8,,Ilke WYLUDDA,1969-03-28,GDR,2,Chania (GRE),1988-05-22,1271,discus-throw,throws,female,u20,discus-throw,field,70.8,GRE,19.0,1988
111,70.8,,Gisela BEYER,1960-07-16,GDR,1,Berlin (GER),1984-06-09,1271,discus-throw,throws,female,senior,discus-throw,field,70.8,GER,23.0,1984
111,70.8,,Ilke WYLUDDA,1969-03-28,GDR,2,Chania (GRE),1988-05-22,1271,discus-throw,throws,female,senior,discus-throw,field,70.8,GRE,19.0,1988
111,70.8,,Larisa MIKHALCHENKO,1963-05-16,URS,1,Kharkov (URS),1988-06-18,1271,discus-throw,throws,female,senior,discus-throw,field,70.8,URS,25.0,1988
114,70.78,,Ilke WYLUDDA,1969-03-28,GDR,1,Rostock (GER),1989-05-28,1270,discus-throw,throws,female,senior,discus-throw,field,70.78,GER,20.0,1989
115,70.76,,Martina HELLMANN,1960-12-12,GDR,2,Potsdam (GDR),1987-06-06,1270,discus-throw,throws,female,senior,discus-throw,field,70.76,GDR,26.0,1987
115,70.76,,Zdeňka ŠILHAVÁ,1954-06-15,TCH,1,Nice (FRA),1984-08-20,1270,discus-throw,throws,female,senior,discus-throw,field,70.76,FRA,30.0,1984
117,70.74,,Mariya PETKOVA,1950-11-03,BUL,1,"Los Angeles, CA (USA)",1983-06-24,1270,discus-throw,throws,female,senior,discus-throw,field,70.74,USA,32.0,1983
118,70.73,,Valarie ALLMAN,1995-02-23,USA,1,"Hayward Field, Eugene, OR (USA)",2024-06-27,1270,discus-throw,throws,female,senior,discus-throw,field,70.73,USA,29.0,2024
119,70.72,,Laulauga TAUSAGA,1998-05-22,USA,2f1,"Millican Field at Throw Town, Ramona, OK (USA)",2025-04-12,1269,discus-throw,throws,female,senior,discus-throw,field,70.72,USA,26.0,2025
119,70.72,,Evelin JAHL,1956-03-28,GDR,1,Dresden (GER),1978-08-12,1269,discus-throw,throws,female,senior,discus-throw,field,70.72,GER,22.0,1978
121,70.7,,Mariya PETKOVA,1950-11-03,BUL,1,Sofia (BUL),1984-08-08,1269,discus-throw,throws,female,senior,discus-throw,field,70.7,BUL,33.0,1984
121,70.7,,Martina HELLMANN,1960-12-12,GDR,2,Karl Marx Stadt (GDR),1987-06-20,1269,discus-throw,throws,female,senior,discus-throw,field,70.7,GDR,26.0,1987
121,70.7,,Zdeňka ŠILHAVÁ,1954-06-15,TCH,1,Warszawa (POL),1985-07-27,1269,discus-throw,throws,female,senior,discus-throw,field,70.7,POL,31.0,1985
124,70.68,,Maritza MARTEN,1963-08-16,CUB,1,Sevilla (ESP),1992-07-18,1269,discus-throw,throws,female,senior,discus-throw,field,70.68,ESP,28.0,1992
125,70.65,,Denia CABALLERO,1990-01-13,CUB,1,Bilbao (ESP),2015-06-20,1268,discus-throw,throws,female,senior,discus-throw,field,70.65,ESP,25.0,2015
126,70.64,,Tsvetanka KHRISTOVA,1962-03-14,BUL,1,Sofia (BUL),1982-08-21,1268,discus-throw,throws,female,senior,discus-throw,field,70.64,BUL,20.0,1982
126,70.64,,Irina MESZYNSKI,1962-03-24,GDR,1,Karl Marx Stadt (GDR),1982-06-19,1268,discus-throw,throws,female,senior,discus-throw,field,70.64,GDR,20.0,1982
128,70.6,,Diana GANSKY,1963-12-14,GDR,2,Berlin (GER),1988-06-29,1267,discus-throw,throws,female,senior,discus-throw,field,70.6,GER,24.0,1988
128,70.6,,Mariya PETKOVA,1950-11-03,BUL,1,Sofia (BUL),1980-07-04,1267,discus-throw,throws,female,senior,discus-throw,field,70.6,BUL,29.0,1980
130,70.59,,Sandra PERKOVIĆ,1990-06-21,CRO,1,Split (CRO),2016-03-06,1267,discus-throw,throws,female,senior,discus-throw,field,70.59,CRO,25.0,2016
131,70.58,,Evelin JAHL,1956-03-28,GDR,1,Tbilisi (GEO),1981-06-26,1267,discus-throw,throws,female,senior,discus-throw,field,70.58,GEO,25.0,1981
131,70.58,,Tsvetanka KHRISTOVA,1962-03-14,BUL,1,Sofia (BUL),1987-08-22,1267,discus-throw,throws,female,senior,discus-throw,field,70.58,BUL,25.0,1987
131,70.58,,Ilke WYLUDDA,1969-03-28,GDR,1,"Alexander Stadium, Birmingham (GBR)",1987-08-08,1267,discus-throw,throws,female,senior,discus-throw,field,70.58,GBR,18.0,1987
10,70.58,,Ilke WYLUDDA,1969-03-28,GDR,1,"Alexander Stadium, Birmingham (GBR)",1987-08-08,1267,discus-throw,throws,female,u20,discus-throw,field,70.58,GBR,18.0,1987
134,70.56,,Mariya PETKOVA,1950-11-03,BUL,1,Petrich (BUL),1984-04-21,1266,discus-throw,throws,female,senior,discus-throw,field,70.56,BUL,33.0,1984
135,70.52,,Gisela BEYER,1960-07-16,GDR,2,Nice (FRA),1984-08-20,1266,discus-throw,throws,female,senior,discus-throw,field,70.52,FRA,24.0,1984
135,70.52,,Sandra PERKOVIĆ,1990-06-21,CRO,1,"Shanghai Stadium, Shanghai (CHN)",2014-05-18,1266,discus-throw,throws,female,senior,discus-throw,field,70.52,CHN,23.0,2014
135,70.52,,Tsvetanka KHRISTOVA,1962-03-14,BUL,1,Dresden (GER),1986-07-03,1266,discus-throw,throws,female,senior,discus-throw,field,70.52,GER,24.0,1986
135,70.52,,Larisa MIKHALCHENKO,1963-05-16,URS,1,Moskva (URS),1988-09-04,1266,discus-throw,throws,female,senior,discus-throw,field,70.52,URS,25.0,1988
139,70.51,,Sandra PERKOVIĆ,1990-06-21,CRO,1,Split (CRO),2014-03-01,1265,discus-throw,throws,female,senior,discus-throw,field,70.51,CRO,23.0,2014
140,70.5,,Faina MELNIK,1945-06-09,URS,1,Sochi (URS),1976-04-24,1265,discus-throw,throws,female,senior,discus-throw,field,70.5,URS,30.0,1976
140,70.5,,Maritza MARTEN,1963-08-16,CUB,1,Santiago de Chile (CHI),1989-03-04,1265,discus-throw,throws,female,senior,discus-throw,field,70.5,CHI,25.0,1989
140,70.5,,Tsvetanka KHRISTOVA,1962-03-14,BUL,q,Sofia (BUL),1988-09-03,1265,discus-throw,throws,female,senior,discus-throw,field,70.5,BUL,26.0,1988
140,70.5,,Maritza MARTEN,1963-08-16,CUB,1,La Habana (CUB),1985-03-21,1265,discus-throw,throws,female,senior,discus-throw,field,70.5,CUB,21.0,1985
144,70.47,,Valarie ALLMAN,1995-02-23,USA,1,"Olympiastadion, Berlin (GER)",2023-09-03,1265,discus-throw,throws,female,senior,discus-throw,field,70.47,GER,28.0,2023
