Rank,Mark,Wind,Competitor,DOB,Nationality,Position,Venue,Date,Result Score,Discipline,Type,Gender,Age Category,normalized_discpline,track_field,mark_numeric,venue_country_code,age_at_event,season
17,6947,,Nafissatou THIAM,1994-08-19,BEL,1,"Hayward Field, Eugene, OR (USA)",2022-07-18,1262.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6947.0,USA,27.0,2022
18,6946,,Sabine PAETZ,1957-10-16,GDR,1,Potsdam (GDR),1984-05-06,1262.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6946.0,GDR,26.0,1984
19,6942,,Ghada SHOUAA,1972-09-10,SYR,1,Götzis (AUT),1996-05-26,1261.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6942.0,AUT,23.0,1996
20,6935,,Ramona NEUBERT,1958-07-26,GDR,1,Moskva (URS),1983-06-19,1260.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6935.0,URS,24.0,1983
21,6910,,Jackie JOYNER,1962-03-03,USA,1f,"Walnut, CA (USA)",1986-04-25,1255.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6910.0,USA,24.0,1986
22,6906,,Jessica ENNIS-HILL,1986-01-28,GBR,1,"Mösle-Stadium, Götzis (AUT)",2012-05-27,1254.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6906.0,AUT,26.0,2012
23,6897,,Sabine JOHN,1957-10-16,GDR,2,"Olympic Stadium, Seoul (KOR)",1988-09-24,1252.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6897.0,KOR,30.0,1988
24,6889,,Eunice BARBER,1974-11-17,FRA,1,Arles (FRA),2005-06-05,1250.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6889.0,FRA,30.0,2005
25,6887,,Carolina KLÜFT,1983-02-02,SWE,1,"Olympiastadion, Helsinki (FIN)",2005-08-07,1250.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6887.0,FIN,22.0,2005
26,6880,,Nafissatou THIAM,1994-08-19,BEL,1,"Stade de France, Paris (FRA)",2024-08-09,1249.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6880.0,FRA,29.0,2024
27,6875,,Larisa NIKITINA,1965-04-29,URS,1,Helmond (NED),1989-07-16,1248.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6875.0,NED,24.0,1989
28,6867,,Anouk VETTER,1993-02-04,NED,2,"Hayward Field, Eugene, OR (USA)",2022-07-18,1246.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6867.0,USA,29.0,2022
29,6861,,Eunice BARBER,1974-11-17,FRA,1,"La Cartuja, Sevilla (ESP)",1999-08-22,1245.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6861.0,ESP,24.0,1999
30,6859,,Natalya SHUBENKOVA,1957-09-25,URS,1,Kiev (URS),1984-06-21,1244.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6859.0,URS,26.0,1984
31,6858,,Anke BEHMER,1961-06-05,GDR,3,"Olympic Stadium, Seoul (KOR)",1988-09-24,1244.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6858.0,KOR,27.0,1988
32,6848,,Nafissatou THIAM,1994-08-19,BEL,1,"Stadio Olimpico, Roma (ITA)",2024-06-08,1242.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6848.0,ITA,29.0,2024
33,6845,,Irina BELOVA,1968-03-27,EUN,2,"Estadio Olímpico, Barcelona (ESP)",1992-08-02,1242.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6845.0,ESP,24.0,1992
34,6844,,Katarina JOHNSON-THOMPSON,1993-01-09,GBR,2,"Stade de France, Paris (FRA)",2024-08-09,1241.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6844.0,FRA,31.0,2024
35,6842,,Eunice BARBER,1974-11-17,FRA,1,Götzis (AUT),2000-06-04,1241.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6842.0,AUT,25.0,2000
36,6841,,Jackie JOYNER,1962-03-03,USA,1,Götzis (AUT),1986-05-25,1241.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6841.0,AUT,24.0,1986
37,6837,,Jackie JOYNER-KERSEE,1962-03-03,USA,1,"Gottlieb-Daimler Stadion, Stuttgart (GER)",1993-08-17,1240.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6837.0,GER,31.0,1993
38,6836,,Carolin SCHÄFER,1991-12-05,GER,2,"Mösle-Stadium, Götzis (AUT)",2017-05-28,1240.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6836.0,AUT,25.0,2017
39,6832,,Lyudmila BLONSKA,1977-11-09,UKR,2,"Yanmar Stadium Nagai, Osaka (JPN)",2007-08-26,1239.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6832.0,JPN,29.0,2007
40,6831,,Denise LEWIS,1972-08-27,GBR,1,Talence (FRA),2000-07-30,1239.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6831.0,FRA,27.0,2000
41,6824,,Eunice BARBER,1974-11-17,FRA,2,"Olympiastadion, Helsinki (FIN)",2005-08-07,1237.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6824.0,FIN,30.0,2005
41,6824,,Carolina KLÜFT,1983-02-02,SWE,1,"Mösle-Stadium, Götzis (AUT)",2005-05-29,1237.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6824.0,AUT,22.0,2005
43,6823,,Jessica ENNIS-HILL,1986-01-28,GBR,1,"Estadio Olímpico, Barcelona (ESP)",2010-07-31,1237.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6823.0,ESP,24.0,2010
44,6820,,Carolina KLÜFT,1983-02-02,SWE,1,Götzis (AUT),2004-05-30,1237.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6820.0,AUT,21.0,2004
45,6819,,Nafissatou THIAM,1994-08-19,BEL,1,"Stade Pierre Paul Bernard, Talence (FRA)",2019-06-23,1236.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6819.0,FRA,24.0,2019
46,6816,,Nafissatou THIAM,1994-08-19,BEL,1,"Olympiastadion, Berlin (GER)",2018-08-10,1236.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6816.0,GER,23.0,2018
47,6815,,Laura IKAUNIECE,1992-05-31,LAT,3,"Mösle-Stadium, Götzis (AUT)",2017-05-28,1236.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6815.0,AUT,25.0,2017
48,6813,,Katarina JOHNSON-THOMPSON,1993-01-09,GBR,1,"Mösle-Stadium, Götzis (AUT)",2019-05-26,1235.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6813.0,AUT,26.0,2019
49,6810,,Nafissatou THIAM,1994-08-19,BEL,1,"Estádio Olímpico, Rio de Janeiro (BRA)",2016-08-13,1235.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6810.0,BRA,22.0,2016
50,6808,,Brianne THEISEN-EATON,1986-12-18,CAN,1,"Mösle-Stadium, Götzis (AUT)",2015-05-31,1234.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6808.0,AUT,28.0,2015
51,6806,,Nafissatou THIAM,1994-08-19,BEL,1,"Mösle-Stadium, Götzis (AUT)",2018-05-27,1234.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6806.0,AUT,23.0,2018
52,6805,,Anke BEHMER,1961-06-05,GDR,1,Götzis (AUT),1988-06-19,1234.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6805.0,AUT,27.0,1988
53,6803,,Jane FREDERICK,1952-04-07,USA,1,Talence (FRA),1984-09-16,1233.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6803.0,FRA,32.0,1984
54,6797,,Sabine BRAUN,1965-06-19,GER,2,"Gottlieb-Daimler Stadion, Stuttgart (GER)",1993-08-17,1232.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6797.0,GER,28.0,1993
55,6791,,Nafissatou THIAM,1994-08-19,BEL,1,"National Stadium, Tokyo (JPN)",2021-08-05,1231.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6791.0,JPN,26.0,2021
56,6790,,Jessica ENNIS-HILL,1986-01-28,GBR,1,"Mösle-Stadium, Götzis (AUT)",2011-05-29,1231.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6790.0,AUT,25.0,2011
57,6787,,Sabine BRAUN,1965-06-19,GER,1,Ratingen (GER),1997-06-01,1230.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6787.0,GER,31.0,1997
58,6784,,Nafissatou THIAM,1994-08-19,BEL,1,"Olympic Stadium, London (GBR)",2017-08-06,1230.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6784.0,GBR,22.0,2017
59,6780,,Ghada SHOUAA,1972-09-10,SYR,1,"Olympic Stadium, Atlanta, GA (USA)",1996-07-28,1229.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6780.0,USA,23.0,1996
60,6778,,Nataliya DOBRYNSKA,1982-05-29,UKR,2,"Estadio Olímpico, Barcelona (ESP)",2010-07-31,1228.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6778.0,ESP,28.0,2010
61,6775,,Jessica ENNIS-HILL,1986-01-28,GBR,2,"Estádio Olímpico, Rio de Janeiro (BRA)",2016-08-13,1228.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6775.0,BRA,30.0,2016
62,6773,,Ramona NEUBERT,1958-07-26,GDR,1,Halle (GER),1982-06-20,1227.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6773.0,GER,23.0,1982
63,6772,,Ramona NEUBERT,1958-07-26,GDR,1,Sofia (BUL),1983-09-11,1227.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6772.0,BUL,25.0,1983
64,6770,,Jackie JOYNER-KERSEE,1962-03-03,USA,1,"Eugene, OR (USA)",1993-06-16,1227.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6770.0,USA,31.0,1993
65,6769,,Carolina KLÜFT,1983-02-02,SWE,1,Tallinn (EST),2004-07-04,1227.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6769.0,EST,21.0,2004
66,6765,,Brianne THEISEN-EATON,1986-12-18,CAN,1,"Mösle-Stadium, Götzis (AUT)",2016-05-29,1226.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6765.0,AUT,29.0,2016
66,6765,,Yelena PROKHOROVA,1978-04-16,RUS,1,Tula (RUS),2000-07-23,1226.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6765.0,RUS,22.0,2000
68,6759,,Katarina JOHNSON-THOMPSON,1993-01-09,GBR,2,"Olympiastadion, Berlin (GER)",2018-08-10,1225.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6759.0,GER,25.0,2018
69,6755,,Anna HALL,2001-03-23,USA,3,"Hayward Field, Eugene, OR (USA)",2022-07-18,1224.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6755.0,USA,21.0,2022
69,6755,,Eunice BARBER,1974-11-17,FRA,2,"Stade de France, Paris-St-Denis (FRA)",2003-08-24,1224.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6755.0,FRA,28.0,2003
71,6751,,Jessica ENNIS-HILL,1986-01-28,GBR,1,"DS, Daegu (KOR)",2011-08-30,1223.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6751.0,KOR,25.0,2011
72,6742,,Yorgelis RODRÍGUEZ,1995-01-25,CUB,2,"Mösle-Stadium, Götzis (AUT)",2018-05-27,1221.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6742.0,AUT,23.0,2018
73,6741,,Heike DRECHSLER,1964-12-16,GER,1,Talence (FRA),1994-09-11,1221.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6741.0,FRA,29.0,1994
74,6740,,Carolina KLÜFT,1983-02-02,SWE,1,"Ullevi Stadium, Göteborg (SWE)",2006-08-08,1221.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6740.0,SWE,23.0,2006
74,6740,,Katarina JOHNSON-THOMPSON,1993-01-09,GBR,1,"Nemzeti Atlétikai Központ, Budapest (HUN)",2023-08-20,1221.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6740.0,HUN,30.0,2023
76,6739,,Sabine BRAUN,1965-06-19,GER,1,"Olympic Stadium, Athina (GRE)",1997-08-04,1221.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6739.0,GRE,32.0,1997
77,6736,,Denise LEWIS,1972-08-27,GBR,1,Götzis (AUT),1997-06-01,1220.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6736.0,AUT,24.0,1997
77,6736,,Eunice BARBER,1974-11-17,FRA,1,Götzis (AUT),2001-05-27,1220.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6736.0,AUT,26.0,2001
79,6735,,Hyleas FOUNTAIN,1981-01-14,USA,1,"Drake Stadium, Des Moines, IA (USA)",2010-06-26,1220.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6735.0,USA,29.0,2010
80,6733,,Lyudmila BLONSKA,1977-11-09,UKR,1,Kyiv (UKR),2007-08-04,1219.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6733.0,UKR,29.0,2007
80,6733,,Jessica ENNIS-HILL,1986-01-28,GBR,1,"Stadionring, Ratingen (GER)",2016-06-26,1219.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6733.0,GER,30.0,2016
80,6733,,Nataliya DOBRYNSKA,1982-05-29,UKR,1,"National Stadium, Beijing (CHN)",2008-08-16,1219.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6733.0,CHN,26.0,2008
83,6731,,Jessica ENNIS-HILL,1986-01-28,GBR,1,"Olympiastadion, Berlin (GER)",2009-08-16,1219.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6731.0,GER,23.0,2009
84,6725,,Erica BOUGARD,1993-07-26,USA,3,"Mösle-Stadium, Götzis (AUT)",2018-05-27,1218.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6725.0,AUT,24.0,2018
85,6724,,Denise LEWIS,1972-08-27,GBR,2,"La Cartuja, Sevilla (ESP)",1999-08-22,1218.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6724.0,ESP,27.0,1999
86,6720,,Anna HALL,2001-03-23,USA,2,"Nemzeti Atlétikai Központ, Budapest (HUN)",2023-08-20,1217.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6720.0,HUN,22.0,2023
87,6719,,Carolina KLÜFT,1983-02-02,SWE,1,"Mösle-Stadium, Götzis (AUT)",2006-05-28,1217.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6719.0,AUT,23.0,2006
88,6718,,Jackie JOYNER,1962-03-03,USA,1,"Baton Rouge, LA (USA)",1985-07-28,1216.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6718.0,USA,23.0,1985
89,6717,,Anke BEHMER,1961-06-05,GDR,1,"Neckarstadion, Stuttgart (GER)",1986-08-30,1216.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6717.0,GER,25.0,1986
90,6716,,Ramona NEUBERT,1958-07-26,GDR,1,Kiev (URS),1981-06-28,1216.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6716.0,URS,22.0,1981
91,6715,,Ghada SHOUAA,1972-09-10,SYR,1,Götzis (AUT),1995-05-28,1216.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6715.0,AUT,22.0,1995
92,6714,,Ramona NEUBERT,1958-07-26,GDR,1,"Olympiastadion, Helsinki (FIN)",1983-08-09,1216.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6714.0,FIN,25.0,1983
93,6707,,Noor VIDTS,1996-05-30,BEL,3,"Stade de France, Paris (FRA)",2024-08-09,1214.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6707.0,FRA,28.0,2024
94,6703,,Annie KUNZ,1993-02-16,USA,1,"Hayward Field, Eugene, OR (USA)",2021-06-27,1213.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6703.0,USA,28.0,2021
94,6703,,Tatyana BLOKHINA,1970-03-12,RUS,1,Talence (FRA),1993-09-11,1213.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6703.0,FRA,23.0,1993
96,6702,,Chantal BEAUGEANT,1961-02-16,FRA,2,Götzis (AUT),1988-06-19,1213.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6702.0,AUT,27.0,1988
97,6696,,Carolin SCHÄFER,1991-12-05,GER,2,"Olympic Stadium, London (GBR)",2017-08-06,1212.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6696.0,GBR,25.0,2017
98,6695,,Jackie JOYNER-KERSEE,1962-03-03,USA,1,"New Orleans, LA (USA)",1992-06-21,1212.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6695.0,USA,30.0,1992
98,6695,,Jane FLEMMING,1965-04-14,AUS,1,Auckland (NZL),1990-01-28,1212.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6695.0,NZL,24.0,1990
100,6694,,Yelena PROKHOROVA,1978-04-16,RUS,1,"Commonwealth Stadium, Edmonton (CAN)",2001-08-05,1212.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6694.0,CAN,23.0,2001
100,6694,,Eunice BARBER,1974-11-17,FRA,1,Arles (FRA),2003-06-08,1212.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6694.0,FRA,28.0,2003
102,6693,,Anouk VETTER,1993-02-04,NED,1,"Mösle-Stadium, Götzis (AUT)",2022-05-29,1211.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6693.0,AUT,29.0,2022
103,6692,,Anke BEHMER,1961-06-05,GDR,1,Götzis (AUT),1987-05-24,1211.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6692.0,AUT,25.0,1987
103,6692,,Carolina KLÜFT,1983-02-02,SWE,1,Tallinn (EST),2003-07-06,1211.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6692.0,EST,20.0,2003
105,6691,,Katarina JOHNSON-THOMPSON,1993-01-09,GBR,4,"Mösle-Stadium, Götzis (AUT)",2017-05-28,1211.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6691.0,AUT,24.0,2017
106,6689,,Jessica ENNIS-HILL,1986-01-28,GBR,1,"Mösle-Stadium, Götzis (AUT)",2010-05-30,1211.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6689.0,AUT,24.0,2010
106,6689,,Anouk VETTER,1993-02-04,NED,2,"National Stadium, Tokyo (JPN)",2021-08-05,1211.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6689.0,JPN,28.0,2021
108,6688,,Carolina KLÜFT,1983-02-02,SWE,1,Jyväskylä (FIN),2005-07-03,1211.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6688.0,FIN,22.0,2005
108,6688,,Sabine BRAUN,1965-06-19,FRG,1,"Poljud Stadion, Split (CRO)",1990-08-31,1211.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6688.0,CRO,25.0,1990
110,6686,,Anke BEHMER,1961-06-05,GDR,1,Götzis (AUT),1989-06-18,1210.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6686.0,AUT,28.0,1989
111,6683,,Kendell WILLIAMS,1995-06-14,USA,2,"Hayward Field, Eugene, OR (USA)",2021-06-27,1210.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6683.0,USA,26.0,2021
111,6683,,Jennifer OESER,1983-11-29,GER,3,"Estadio Olímpico, Barcelona (ESP)",2010-07-31,1210.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6683.0,ESP,26.0,2010
113,6682,,Katarina JOHNSON-THOMPSON,1993-01-09,GBR,1,"Mösle-Stadium, Götzis (AUT)",2014-06-01,1209.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6682.0,AUT,21.0,2014
114,6681,,Carolina KLÜFT,1983-02-02,SWE,1,"Mösle-Stadium, Götzis (AUT)",2007-05-27,1209.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6681.0,AUT,24.0,2007
114,6681,,Kristina SAVITSKAYA,1991-06-10,RUS,1,Cheboksary (RUS),2012-06-03,1209.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6681.0,RUS,20.0,2012
116,6677,,Nafissatou THIAM,1994-08-19,BEL,2,"Khalifa International Stadium, Doha (QAT)",2019-10-04,1208.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6677.0,QAT,25.0,2019
116,6677,,Anna HALL,2001-03-23,USA,1,"Hayward Field, Eugene, OR (USA)",2023-07-07,1208.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6677.0,USA,22.0,2023
118,6675,,Eunice BARBER,1974-11-17,FRA,1,"Stade Pierre Paul Bernard, Talence (FRA)",2005-09-18,1208.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6675.0,FRA,30.0,2005
119,6673,,Irina BELOVA,1968-03-27,RUS,1,Talence (FRA),1992-09-05,1208.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6673.0,FRA,24.0,1992
120,6672,,Sabine BRAUN,1965-06-19,GER,1,"National Stadium, Tokyo (JPN)",1991-08-27,1207.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6672.0,JPN,26.0,1991
120,6672,,Adrianna SUŁEK,1999-04-03,POL,4,"Hayward Field, Eugene, OR (USA)",2022-07-18,1207.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6672.0,USA,23.0,2022
122,6669,,Jessica ENNIS-HILL,1986-01-28,GBR,1,"National Stadium, Beijing (CHN)",2015-08-23,1207.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6669.0,CHN,29.0,2015
123,6667,,Erica BOUGARD,1993-07-26,USA,3,"Hayward Field, Eugene, OR (USA)",2021-06-27,1206.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6667.0,USA,27.0,2021
123,6667,,Hyleas FOUNTAIN,1981-01-14,USA,1,"Eugene, OR (USA)",2008-06-28,1206.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6667.0,USA,27.0,2008
123,6667,,Carolin SCHÄFER,1991-12-05,GER,1,"Stadionring, Ratingen (GER)",2017-06-25,1206.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6667.0,GER,25.0,2017
126,6666,,Jane FREDERICK,1952-04-07,USA,1,Götzis (AUT),1985-05-26,1206.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6666.0,AUT,33.0,1985
127,6665,,Sabine BRAUN,1965-06-19,GER,1,Götzis (AUT),1994-05-29,1206.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6665.0,AUT,28.0,1994
127,6665,,Carolina KLÜFT,1983-02-02,SWE,1,Arles (FRA),2006-07-02,1206.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6665.0,FRA,23.0,2006
129,6663,,Jennifer OESER,1983-11-29,GER,1,"Stadionring, Ratingen (GER)",2011-07-17,1206.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6663.0,GER,27.0,2011
129,6663,,Anke BEHMER,1961-06-05,GDR,1,Tønsberg (NOR),1989-07-16,1206.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6663.0,NOR,28.0,1989
129,6663,,Erica BOUGARD,1993-07-26,USA,1,"Drake Stadium, Des Moines, IA (USA)",2019-07-28,1206.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6663.0,USA,26.0,2019
132,6662,,Sabine PAETZ,1957-10-16,GDR,2,"Olympiastadion, Helsinki (FIN)",1983-08-09,1205.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6662.0,FIN,25.0,1983
133,6660,,Ines SCHULZ-KRAUSE,1965-07-10,GDR,3,Götzis (AUT),1988-06-19,1205.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6660.0,AUT,22.0,1988
134,6658,,Svetla DIMITROVA-PISHTIKOVA,1970-01-27,BUL,2,Götzis (AUT),1992-05-31,1205.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6658.0,AUT,22.0,1992
135,6654,,Denise LEWIS,1972-08-27,GBR,2,"Olympic Stadium, Athina (GRE)",1997-08-04,1204.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6654.0,GRE,24.0,1997
136,6653,,Brianne THEISEN-EATON,1986-12-18,CAN,3,"Estádio Olímpico, Rio de Janeiro (BRA)",2016-08-13,1204.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6653.0,BRA,29.0,2016
137,6651,,Ghada SHOUAA,1972-09-10,SYR,1,"Ullevi Stadium, Göteborg (SWE)",1995-08-10,1203.0,heptathlon,combined-events,female,senior,heptathlon,mixed,6651.0,SWE,22.0,1995
